sample_title	mouse_line	cre_driver_1	cre_driver_2	cre_reporter	dissection	tdTomato	pass_qc_checks	broad_type	core_intermediate	primary_type	secondary_type	aibs_vignette_id
Ndnf_tdTnegative_cell_5	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		Nd1962n_V1
Ndnf_tdTnegative_cell_6	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		Nd1963n_V1
Ndnf_tdTnegative_cell_7	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		Nd1964n_V1
Ndnf_tdTnegative_cell_10	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		Nd1967n_V1
Ntsr1_tdTnegative_cell_11	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1826n_V6a
Ntsr1_tdTnegative_cell_14	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1829n_V6a
Ntsr1_tdTnegative_cell_17	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1832n_V6a
Ntsr1_tdTnegative_cell_20	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1835n_V6a
Ntsr1_tdTnegative_cell_21	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1836n_V6a
Ntsr1_tdTnegative_cell_25	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1840n_V6a
Ntsr1_tdTnegative_cell_26	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1841n_V6a
Ntsr1_tdTnegative_cell_27	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1842n_V6a
Ntsr1_tdTnegative_cell_30	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1846n_V6a
Ntsr1_tdTnegative_cell_33	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Astrocyte	core	Astro Gja1		T1849n_V6a
Ntsr1_tdTnegative_cell_45	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6	negative	Y	Astrocyte	core	Astro Gja1		T1181n_V6
Rorb_tdTpositive_cell_39	Rorb	Rorb-IRES2-Cre		RCL-tdT (Ai14)	L5	positive	Y	Astrocyte	core	Astro Gja1		B379_V5
Rorb_tdTpositive_cell_47	Rorb	Rorb-IRES2-Cre		RCL-tdT (Ai14)	L5	positive	Y	Astrocyte	core	Astro Gja1		B387_V5
Rorb_tdTpositive_cell_54	Rorb	Rorb-IRES2-Cre		RCL-tdT (Ai14)	L5	positive	Y	Astrocyte	core	Astro Gja1		B394_V5
Scnn1a-Tg2_tdTnegative_cell_3	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		F1192_V1
Scnn1a-Tg2_tdTnegative_cell_4	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		F1193_V1
Scnn1a-Tg2_tdTnegative_cell_5	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		F1194_V1
Scnn1a-Tg2_tdTnegative_cell_6	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		F1195_V1
Scnn1a-Tg2_tdTnegative_cell_16	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		F1205_V1
Scnn1a-Tg2_tdTnegative_cell_18	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		F1207_V1
Scnn1a-Tg2_tdTnegative_cell_19	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		F1208_V1
Gad2_tdTpositive_cell_18	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1233_V
Gad2_tdTpositive_cell_25	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1240_V
Gad2_tdTpositive_cell_26	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	intermediate	Smad3	Ndnf Cxcl14	D1241_V
Gad2_tdTpositive_cell_40	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1318_V
Gad2_tdTpositive_cell_48	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1330_V
Gad2_tdTpositive_cell_49	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1331_V
Gad2_tdTpositive_cell_62	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1346_V
Gad2_tdTpositive_cell_64	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1348_V
Gad2_tdTpositive_cell_67	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1351_V
Gad2_tdTpositive_cell_69	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		D1353_V
Htr3a_tdTpositive_cell_32	Htr3a	Htr3a-Cre_NO152		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		H1037_V
Nos1_tdTpositive_cell_36	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		U1465_V
Nos1_tdTpositive_cell_40	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Smad3		U1469_V
Calb2_tdTpositive_cell_28	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	intermediate	Endo Myl9	OPC Pdgfra	A1613_V
Calb2_tdTpositive_cell_61	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	lower	positive	Y	Endothelial Cell	intermediate	Endo Myl9	OPC Pdgfra	A1646_VL
Ctgf_tdTpositive_cell_1	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		Ct1986_V
Ctgf_tdTpositive_cell_3	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		Ct1988_V
Ctgf_tdTpositive_cell_4	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		Ct1989_V
Ctgf_tdTpositive_cell_9	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		Ct1994_V
Ctgf_tdTpositive_cell_10	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		Ct1995_V
Ndnf_tdTpositive_cell_1	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		Nd1970_V
Ndnf_tdTpositive_cell_5	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		Nd1978_V
Ndnf_tdTpositive_cell_6	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		Nd1979_V
Ndnf_tdTnegative_cell_11	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Endothelial Cell	core	Endo Myl9		Nd1968n_V1
Nos1_tdTpositive_cell_1	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		U180_V
Nos1_tdTpositive_cell_54	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		U1484_V
Nos1_tdTpositive_cell_66	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Myl9		U1501_V
Ntsr1_tdTnegative_cell_29	Ntsr1	Ntsr1-Cre_GN220		RCL-tdT (Ai14)	L6a	negative	Y	Endothelial Cell	core	Endo Myl9		T1845n_V6a
Ctgf_tdTpositive_cell_2	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Ct1987_V
Ctgf_tdTpositive_cell_5	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Ct1990_V
Ctgf_tdTpositive_cell_6	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Ct1991_V
Ctgf_tdTpositive_cell_7	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Ct1992_V
Ctgf_tdTpositive_cell_8	Ctgf	Ctgf-2A-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Ct1993_V
Cux2_tdTnegative_cell_10	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	negative	Y	Endothelial Cell	core	Endo Tbc1d4		C2005n_V23
Ndnf_tdTpositive_cell_3	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Nd1972_V
Ndnf_tdTpositive_cell_4	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Nd1977_V
Ndnf_tdTpositive_cell_7	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Nd1980_V
Ndnf_tdTpositive_cell_8	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Nd1981_V
Ndnf_tdTpositive_cell_9	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Nd1982_V
Ndnf_tdTpositive_cell_10	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Nd1983_V
Ndnf_tdTpositive_cell_11	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Nd1984_V
Ndnf_tdTpositive_cell_12	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	All	positive	Y	Endothelial Cell	core	Endo Tbc1d4		Nd1985_V
Gad2_tdTpositive_cell_5	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Igtp		D1220_V
Gad2_tdTpositive_cell_27	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Igtp		D1242_V
Nkx2-1_tdTpositive_cell_14	Nkx2-1	Nkx2-1-CreERT2		RCL-tdT (Ai14)	upper	positive	Y	GABA-ergic Neuron	core	Igtp		W1806_VU
Nkx2-1_tdTpositive_cell_21	Nkx2-1	Nkx2-1-CreERT2		RCL-tdT (Ai14)	lower	positive	Y	GABA-ergic Neuron	core	Igtp		W1813_VL
Nkx2-1_tdTpositive_cell_22	Nkx2-1	Nkx2-1-CreERT2		RCL-tdT (Ai14)	lower	positive	Y	GABA-ergic Neuron	core	Igtp		W1814_VL
Nos1_tdTpositive_cell_9	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Igtp		U248_V
Nos1_tdTpositive_cell_10	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Igtp		U249_V
Nos1_tdTpositive_cell_13	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Igtp		U252_V
Nos1_tdTpositive_cell_31	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Igtp		U1460_V
Nos1_tdTpositive_cell_41	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	GABA-ergic Neuron	core	Igtp		U1470_V
Calb2_tdTpositive_cell_7	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		A206_V
Calb2_tdTpositive_cell_10	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		A273_V
Calb2_tdTpositive_cell_30	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		A1615_V
Cux2_tdTpositive_cell_49	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2 Ngb		C958_V23
Cux2_tdTpositive_cell_88	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	intermediate	L2 Ngb	L2/3 Ptgs2	C1261_V
Gad2_tdTpositive_cell_42	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		D1320_V
Gad2_tdTpositive_cell_51	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	intermediate	L2 Ngb	L2/3 Ptgs2	D1334_V
Ndnf_tdTnegative_cell_3	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Glutamatergic Neuron	core	L2 Ngb		Nd1960n_V1
Ndnf_tdTnegative_cell_8	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Glutamatergic Neuron	core	L2 Ngb		Nd1965n_V1
Ndnf_tdTnegative_cell_9	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Glutamatergic Neuron	core	L2 Ngb		Nd1966n_V1
Nos1_tdTpositive_cell_43	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	intermediate	L2 Ngb	L2/3 Ptgs2	U1472_V
Nos1_tdTpositive_cell_61	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		U1491_V
Nos1_tdTpositive_cell_71	Nos1	Nos1-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		U1506_V
Scnn1a-Tg2_tdTnegative_cell_2	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Glutamatergic Neuron	core	L2 Ngb		F1191_V1
Scnn1a-Tg2_tdTnegative_cell_10	Scnn1a-Tg2	Scnn1a-Tg2-Cre		RCL-tdT (Ai14)	L1	negative	Y	Glutamatergic Neuron	intermediate	L2 Ngb	L2/3 Ptgs2	F1199_V1
Slc17a6_tdTpositive_cell_4	Slc17a6	Slc17a6-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		Sc1856_V
Slc17a6_tdTpositive_cell_10	Slc17a6	Slc17a6-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	intermediate	L2 Ngb	L2/3 Ptgs2	Sc1862_V
Slc17a6_tdTpositive_cell_14	Slc17a6	Slc17a6-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		Sc1866_V
Slc17a6_tdTpositive_cell_35	Slc17a6	Slc17a6-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		Sc1887_V
Slc17a6_tdTpositive_cell_47	Slc17a6	Slc17a6-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2 Ngb		Sc1899_V
Sst_tdTpositive_cell_13	Sst	Sst-IRES-Cre		RCL-tdT (Ai14)	upper	positive	Y	Glutamatergic Neuron	core	L2 Ngb		M2044_VU
Calb2_tdTpositive_cell_6	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		A205_V
Calb2_tdTpositive_cell_8	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		A207_V
Calb2_tdTpositive_cell_12	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		A275_V
Calb2_tdTpositive_cell_14	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		A277_V
Calb2_tdTpositive_cell_33	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	upper	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		A1618_VU
Calb2_tdTpositive_cell_39	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	upper	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		A1624_VU
Calb2_tdTpositive_cell_42	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	upper	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		A1627_VU
Calb2_tdTpositive_cell_51	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	lower	positive	Y	Glutamatergic Neuron	intermediate	L2/3 Ptgs2	L4 Ctxn3	A1636_VL
Cux2_tdTpositive_cell_5	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C192_V4
Cux2_tdTpositive_cell_7	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C194_V4
Cux2_tdTpositive_cell_9	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C478_V4
Cux2_tdTpositive_cell_15	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C484_V4
Cux2_tdTpositive_cell_16	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C485_V4
Cux2_tdTpositive_cell_19	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C488_V4
Cux2_tdTpositive_cell_25	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C494_V4
Cux2_tdTpositive_cell_27	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C496_V4
Cux2_tdTpositive_cell_28	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C497_V4
Cux2_tdTpositive_cell_31	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C500_V4
Cux2_tdTpositive_cell_34	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C503_V4
Cux2_tdTpositive_cell_38	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C507_V4
Cux2_tdTpositive_cell_41	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C510_V4
Cux2_tdTpositive_cell_45	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C514_V4
Cux2_tdTpositive_cell_46	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L4	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C515_V4
Cux2_tdTpositive_cell_50	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C959_V23
Cux2_tdTpositive_cell_54	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C963_V23
Cux2_tdTpositive_cell_57	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C966_V234
Cux2_tdTpositive_cell_59	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C968_V234
Cux2_tdTpositive_cell_60	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C969_V234
Cux2_tdTpositive_cell_62	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C971_V234
Cux2_tdTpositive_cell_66	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C975_V234
Cux2_tdTpositive_cell_71	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C980_V234
Cux2_tdTpositive_cell_77	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C1249_V
Cux2_tdTpositive_cell_78	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C1250_V
Cux2_tdTpositive_cell_79	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C1251_V
Cux2_tdTpositive_cell_81	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C1254_V
Cux2_tdTpositive_cell_84	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C1257_V
Cux2_tdTpositive_cell_90	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C1263_V
Cux2_tdTpositive_cell_92	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	core	L2/3 Ptgs2		C1265_V
Cux2_tdTpositive_cell_94	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	All	positive	Y	Glutamatergic Neuron	intermediate	L2/3 Ptgs2	L2 Ngb	C1267_V
