sampleName	originalIndex	GSE	samples	MajorType	Neurotransmitter	ShinyNames	CellTypes	PyramidalDeep	BroadTypes	Description	Age	Region	Platform	Reference	PMID	RegionToChildren	RegionToParent	Normalize	Normalize2	Notes
GSM337800	12	GSE13379	GSM337800,GSM337801,GSM337802	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mature Oligodendrocytes	Adult	Cortex,All	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337801	12	GSE13379	GSM337800,GSM337801,GSM337802	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mature Oligodendrocytes	Adult	Cortex,All	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337802	12	GSE13379	GSM337800,GSM337801,GSM337802	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Mature Oligodendrocytes	Adult	Cortex,All	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM742912	13	GSE30016	GSM742912,GSM742913,GSM742914	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Olig2 positive cells	90	Cortex,All	GPL1261	Fomchenko et al 2011	21754979	TRUE	TRUE	TRUE	TRUE	
GSM742913	13	GSE30016	GSM742912,GSM742913,GSM742914	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Olig2 positive cells	90	Cortex,All	GPL1261	Fomchenko et al 2011	21754979	TRUE	TRUE	TRUE	TRUE	
GSM742914	13	GSE30016	GSM742912,GSM742913,GSM742914	Glia	Oligodendrocyte	Oligodendrocyte	Oligo	Oligo	Oligo	Olig2 positive cells	90	Cortex,All	GPL1261	Fomchenko et al 2011	21754979	TRUE	TRUE	TRUE	TRUE	
GSM337773	14	GSE13379	GSM337773,GSM337774,GSM337775	Neuron	Cholinergic	Midbrain Cholinergic	BrainstemCholin	BrainstemCholin	MidbrainCholinergic	Motor Neurons, Midbrain Cholinergic Neurons	Adult	Brainstem,Midbrain	GPL1261	Doyle et al., 2008	19013282	FALSE	TRUE	TRUE	TRUE	We removed it's midbrain status since original paper included no evidence of midbrain specificity.
GSM337774	14	GSE13379	GSM337773,GSM337774,GSM337775	Neuron	Cholinergic	Midbrain Cholinergic	BrainstemCholin	BrainstemCholin	MidbrainCholinergic	Motor Neurons, Midbrain Cholinergic Neurons	Adult	Brainstem,Midbrain	GPL1261	Doyle et al., 2008	19013282	FALSE	TRUE	TRUE	TRUE	We removed it's midbrain status since original paper included no evidence of midbrain specificity.
GSM337775	14	GSE13379	GSM337773,GSM337774,GSM337775	Neuron	Cholinergic	Midbrain Cholinergic	BrainstemCholin	BrainstemCholin	MidbrainCholinergic	Motor Neurons, Midbrain Cholinergic Neurons	Adult	Brainstem,Midbrain	GPL1261	Doyle et al., 2008	19013282	FALSE	TRUE	TRUE	TRUE	We removed it's midbrain status since original paper included no evidence of midbrain specificity.
GSM337779	15	GSE13379	GSM337779,GSM337780,GSM337781	Neuron	Cholinergic	Forebrain Cholinergic	ForebrainCholin	ForebrainCholin	Cholin	Cholinergic Projection Neurons	Adult	BasalForebrain	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337780	15	GSE13379	GSM337779,GSM337780,GSM337781	Neuron	Cholinergic	Forebrain Cholinergic	ForebrainCholin	ForebrainCholin	Cholin	Cholinergic Projection Neurons	Adult	BasalForebrain	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337781	15	GSE13379	GSM337779,GSM337780,GSM337781	Neuron	Cholinergic	Forebrain Cholinergic	ForebrainCholin	ForebrainCholin	Cholin	Cholinergic Projection Neurons	Adult	BasalForebrain	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337791	16	GSE13379	GSM337791,GSM337792,GSM337793	Neuron	Cholinergic	Forebrain Cholinergic	ForebrainCholin	ForebrainCholin	Cholin	Cholinergic Neurons	Adult	Striatum	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337792	16	GSE13379	GSM337791,GSM337792,GSM337793	Neuron	Cholinergic	Forebrain Cholinergic	ForebrainCholin	ForebrainCholin	Cholin	Cholinergic Neurons	Adult	Striatum	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337793	16	GSE13379	GSM337791,GSM337792,GSM337793	Neuron	Cholinergic	Forebrain Cholinergic	ForebrainCholin	ForebrainCholin	Cholin	Cholinergic Neurons	Adult	Striatum	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337785	17	GSE13379	GSM337785,GSM337786,GSM337787	Neuron	Cholinergic	SpinalCordCholinergic	SpinalCordCholinergic	SpinalCordCholinergic	SpinalCordCholinergic	Motor Neurons, Cholinergic Interneurons	Adult	SpinalCord	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337786	17	GSE13379	GSM337785,GSM337786,GSM337787	Neuron	Cholinergic	SpinalCordCholinergic	SpinalCordCholinergic	SpinalCordCholinergic	SpinalCordCholinergic	Motor Neurons, Cholinergic Interneurons	Adult	SpinalCord	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337787	17	GSE13379	GSM337785,GSM337786,GSM337787	Neuron	Cholinergic	SpinalCordCholinergic	SpinalCordCholinergic	SpinalCordCholinergic	SpinalCordCholinergic	Motor Neurons, Cholinergic Interneurons	Adult	SpinalCord	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM1057734	18	GSE43164	GSM1057734,GSM1057735,GSM1057736	Neuron	Cholinergic	Thalamus Cholinergic	ThalamusCholin	ThalamusCholin	Cholin	Cholin	63	Thalamus	GPL1261	G??rlich et al 2013	24082085	TRUE	TRUE	TRUE	TRUE	
GSM1057735	18	GSE43164	GSM1057734,GSM1057735,GSM1057736	Neuron	Cholinergic	Thalamus Cholinergic	ThalamusCholin	ThalamusCholin	Cholin	Cholin	63	Thalamus	GPL1261	G??rlich et al 2013	24082085	TRUE	TRUE	TRUE	TRUE	
GSM1057736	18	GSE43164	GSM1057734,GSM1057735,GSM1057736	Neuron	Cholinergic	Thalamus Cholinergic	ThalamusCholin	ThalamusCholin	Cholin	Cholin	63	Thalamus	GPL1261	G??rlich et al 2013	24082085	TRUE	TRUE	TRUE	TRUE	
GSM337831	19	GSE13379	GSM337831,GSM337832,GSM337833	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	Adult	Cerebellum	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337832	19	GSE13379	GSM337831,GSM337832,GSM337833	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	Adult	Cerebellum	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM337833	19	GSE13379	GSM337831,GSM337832,GSM337833	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	Adult	Cerebellum	GPL1261	Doyle et al., 2008	19013282	TRUE	TRUE	TRUE	TRUE	
GSM909438	20	GSE37055	GSM909438,GSM909439,GSM909440,GSM909441	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	14	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909439	20	GSE37055	GSM909438,GSM909439,GSM909440,GSM909441	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	14	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909440	20	GSE37055	GSM909438,GSM909439,GSM909440,GSM909441	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	14	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909441	20	GSE37055	GSM909438,GSM909439,GSM909440,GSM909441	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	14	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909442	21	GSE37055	GSM909442,GSM909443,GSM909444	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	21	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909443	21	GSE37055	GSM909442,GSM909443,GSM909444	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	21	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909444	21	GSE37055	GSM909442,GSM909443,GSM909444	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	21	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909445	22	GSE37055	GSM909445,GSM909446,GSM909447,GSM909448	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	28	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909446	22	GSE37055	GSM909445,GSM909446,GSM909447,GSM909448	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	28	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909447	22	GSE37055	GSM909445,GSM909446,GSM909447,GSM909448	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	28	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909448	22	GSE37055	GSM909445,GSM909446,GSM909447,GSM909448	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	28	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	
GSM909449	23	GSE37055	GSM909449,GSM909450	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	35	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	GSM909451 is contaminated with purkinje cells based on marker gene expression
GSM909450	23	GSE37055	GSM909449,GSM909450	Neuron	Gabaergic	Basket	Basket	Basket	Basket	Stellate Basket Cells	35	Cerebellum	GPL1261	Paul et al 2012	22754500	TRUE	TRUE	TRUE	TRUE	GSM909451 is contaminated with purkinje cells based on marker gene expression
GSM444355	24	GSE17806	GSM444355,GSM444356,GSM444357	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+, P13-P15	15	Cortex	GPL1261	Okaty et al., 2009	19474331	TRUE	TRUE	TRUE	TRUE	
GSM444356	24	GSE17806	GSM444355,GSM444356,GSM444357	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+, P13-P15	15	Cortex	GPL1261	Okaty et al., 2009	19474331	TRUE	TRUE	TRUE	TRUE	
GSM444357	24	GSE17806	GSM444355,GSM444356,GSM444357	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+, P13-P15	15	Cortex	GPL1261	Okaty et al., 2009	19474331	TRUE	TRUE	TRUE	TRUE	
GSM444358	25	GSE17806	GSM444358,GSM444359,GSM444360	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+, P25	25	Cortex	GPL1261	Okaty et al., 2009	19474331	TRUE	TRUE	TRUE	TRUE	
GSM444359	25	GSE17806	GSM444358,GSM444359,GSM444360	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+, P25	25	Cortex	GPL1261	Okaty et al., 2009	19474331	TRUE	TRUE	TRUE	TRUE	
GSM444360	25	GSE17806	GSM444358,GSM444359,GSM444360	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+, P25	25	Cortex	GPL1261	Okaty et al., 2009	19474331	TRUE	TRUE	TRUE	TRUE	
GSM215857	26	GSE8720	GSM215857,GSM215858,GSM215859,GSM215860	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GabaPV from G42 line	38	Cortex	GPL1261	Sugino et al. 2014	25232122	TRUE	TRUE	TRUE	TRUE	Same as Okaty 2009. GSM444361, GSM444362, GSM444363
GSM215858	26	GSE8720	GSM215857,GSM215858,GSM215859,GSM215860	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GabaPV from G42 line	38	Cortex	GPL1261	Sugino et al. 2014	25232122	TRUE	TRUE	TRUE	TRUE	Same as Okaty 2009. GSM444361, GSM444362, GSM444363
GSM215859	26	GSE8720	GSM215857,GSM215858,GSM215859,GSM215860	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GabaPV from G42 line	38	Cortex	GPL1261	Sugino et al. 2014	25232122	TRUE	TRUE	TRUE	TRUE	Same as Okaty 2009. GSM444361, GSM444362, GSM444363
GSM215860	26	GSE8720	GSM215857,GSM215858,GSM215859,GSM215860	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GabaPV from G42 line	38	Cortex	GPL1261	Sugino et al. 2014	25232122	TRUE	TRUE	TRUE	TRUE	Same as Okaty 2009. GSM444361, GSM444362, GSM444363
GSM63021	27	GSE2882	GSM63021,GSM63022,GSM63023	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+	70	Cortex	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63022	27	GSE2882	GSM63021,GSM63022,GSM63023	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+	70	Cortex	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63023	27	GSE2882	GSM63021,GSM63022,GSM63023	Neuron	Gabaergic	FS Basket (G42)	GabaPV	GabaPV	Gabaergic	GABAergic Interneurons, PV+	70	Cortex	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63030	28	GSE2882	GSM63030,GSM63031,GSM63032	Neuron	Gabaergic	GabaReln	GabaReln	GabaReln	Gabaergic	GABAergic Interneurons, PV+	71	Thalamus	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63031	28	GSE2882	GSM63030,GSM63031,GSM63032	Neuron	Gabaergic	GabaReln	GabaReln	GabaReln	Gabaergic	GABAergic Interneurons, PV+	71	Thalamus	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63032	28	GSE2882	GSM63030,GSM63031,GSM63032	Neuron	Gabaergic	GabaReln	GabaReln	GabaReln	Gabaergic	GABAergic Interneurons, PV+	71	Thalamus	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63018	29	GSE2882	GSM63018,GSM63019,GSM63020	Neuron	Gabaergic	Martinotti (GIN)	GabaRelnCalb	GabaRelnCalb	Gabaergic	GABAergic Interneurons, SST+	68	Cortex	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63019	29	GSE2882	GSM63018,GSM63019,GSM63020	Neuron	Gabaergic	Martinotti (GIN)	GabaRelnCalb	GabaRelnCalb	Gabaergic	GABAergic Interneurons, SST+	68	Cortex	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63020	29	GSE2882	GSM63018,GSM63019,GSM63020	Neuron	Gabaergic	Martinotti (GIN)	GabaRelnCalb	GabaRelnCalb	Gabaergic	GABAergic Interneurons, SST+	68	Cortex	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63015	30	GSE2882	GSM63015,GSM63016,GSM63017	Neuron	Gabaergic	GabaSSTReln	GabaSSTReln	GabaSSTReln	Gabaergic	GABAergic Interneurons, SST+	69	Hippocampus	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63016	30	GSE2882	GSM63015,GSM63016,GSM63017	Neuron	Gabaergic	GabaSSTReln	GabaSSTReln	GabaSSTReln	Gabaergic	GABAergic Interneurons, SST+	69	Hippocampus	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
GSM63017	30	GSE2882	GSM63015,GSM63016,GSM63017	Neuron	Gabaergic	GabaSSTReln	GabaSSTReln	GabaSSTReln	Gabaergic	GABAergic Interneurons, SST+	69	Hippocampus	GPL339	Sugino et al., 2006	16369481	TRUE	TRUE	TRUE	FALSE	
