Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
SPINK8	4.014	2.005	1.177E-13	Serine peptidase inhibitor, Kazal type 8
NRP1	3.967	1.988	2.054E-13	
RYR3	3.896	1.962	1.746E-08	Ryanodine receptor 3
D430041B17RIK	3.859	1.948	4.519E-13	
VSTM2B	3.832	1.938	1.234E-14	V-set and transmembrane domain containing 2B
SCN3B	3.831	1.938	3.395E-17	Sodium channel, voltage-gated, type III, beta
TNXB	3.828	1.937	1.216E-09	Tenascin XB
FGF13	3.813	1.931	2.453E-10	Fibroblast growth factor 13
SEMA5A	3.797	1.925	8.038E-09	Sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and sh
ELFN2	3.79	1.922	1.423E-12	Leucine rich repeat and fibronectin type III, extracellular 2
PFTK1	3.726	1.898	2.258E-10	
PTK2B	3.665	1.874	3.379E-11	PTK2 protein tyrosine kinase 2 beta
DCN	3.605	1.85	1.722E-05	
COL4A1	3.548	1.827	6.219E-12	Collagen, type IV, alpha 1
COL4A2	3.544	1.825	1.285E-13	Collagen, type IV, alpha 2
CYP7B1	3.503	1.809	1.264E-09	Cytochrome P450, family 7, subfamily b, polypeptide 1
GM484	3.492	1.804	8.576E-13	
UNC5A	3.491	1.803	9.475E-10	
PRR7	3.461	1.791	8.435E-11	Proline rich 7 (synaptic)
HPCAL4	3.46	1.791	3.322E-12	Hippocalcin-like 4
RIN1	3.423	1.775	1.691E-11	Ras and Rab interactor 1
DGAT2	3.418	1.773	3.297E-08	Diacylglycerol O-acyltransferase 2
CPNE4	3.398	1.765	7.842E-10	Copine IV
NELL2	3.381	1.758	1.626E-08	NEL-like 2 (chicken)
PRKCC	3.358	1.748	5.247E-05	
DKK3	3.358	1.748	1.002E-11	Transcribed locus
SYNE1	3.3	1.722	5.743E-10	Transcribed locus, strongly similar to XP_001100347.1 similar to nesprin 1 isoform longer [Macaca m
ANXA11	3.226	1.69	6.121E-08	
RAB34	3.224	1.689	1.701E-09	
EVC2	3.211	1.683	7.860E-12	Ellis van Creveld syndrome 2 homolog (human)
KALRN	3.208	1.682	4.165E-12	
LRRTM1	3.194	1.675	9.204E-10	Leucine rich repeat transmembrane neuronal 1
POU3F1	3.152	1.656	6.859E-15	POU domain, class 3, transcription factor 1
NCDN	3.136	1.649	4.550E-11	Transcribed locus
AK5	3.083	1.624	1.027E-09	Adenylate kinase 5
ITPKA	3.081	1.624	4.227E-08	Transcribed locus
LOC100046207	3.076	1.621	2.160E-03	
LPL	3.07	1.618	1.543E-01	Lipoprotein lipase
GABRB1	3.051	1.609	1.894E-07	Gamma-aminobutyric acid (GABA-A) receptor, subunit beta 1
NRGN	2.991	1.581	2.113E-10	Neurogranin
CAMKK1	2.988	1.579	3.591E-10	
GRASP	2.987	1.578	1.097E-13	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein
D3BWG0562E	2.966	1.568	1.369E-03	DNA segment, Chr 3, Brigham & Women's Genetics 0562 expressed
SH3RF1	2.931	1.551	3.801E-09	SH3 domain containing ring finger 1
ONECUT2	2.9	1.536	2.706E-08	Transcribed locus
NSG2	2.885	1.528	2.018E-06	Neuron specific gene family member 2
RPRML	2.851	1.512	3.017E-11	Reprimo-like
PALMD	2.847	1.51	6.550E-05	Transcribed locus
DBN1	2.847	1.51	2.038E-08	Drebrin 1
KCNAB2	2.821	1.496	8.576E-12	Potassium voltage-gated channel, shaker-related subfamily, beta member 2
PPP1R1A	2.821	1.496	1.047E-05	Protein phosphatase 1, regulatory (inhibitor) subunit 1A
MMD	2.814	1.493	3.082E-10	Monocyte to macrophage differentiation-associated
SLC29A4	2.803	1.487	4.689E-05	Solute carrier family 29 (nucleoside transporters), member 4
MYL2	2.796	1.483	6.428E-01	
CCK	2.793	1.482	8.707E-08	
LOC100047659	2.771	1.47	3.152E-09	
MYL3	2.759	1.464	6.034E-01	
NELF	2.731	1.45	3.788E-13	
BOK	2.713	1.44	2.692E-04	Bcl-2-related ovarian killer protein
CCND2	2.704	1.435	2.536E-07	Cyclin D2
BAI2	2.703	1.434	1.199E-06	
RAMP2	2.677	1.421	4.420E-04	
FOXG1	2.676	1.42	3.378E-05	RIKEN cDNA 3110039M20 gene
MPPED1	2.668	1.416	1.010E-16	Metallophosphoesterase domain containing 1
CARD10	2.667	1.415	2.465E-12	Caspase recruitment domain family, member 10
4631427C17RIK	2.66	1.411	1.524E-07	
GNG7	2.653	1.408	4.205E-09	Guanine nucleotide binding protein (G protein), gamma 7 subunit
ACTA2	2.64	1.401	6.820E-03	
LRRN2	2.64	1.401	1.513E-03	Leucine rich repeat protein 2, neuronal
KCTD4	2.636	1.398	5.364E-06	Transcribed locus
PAK3	2.635	1.398	9.853E-12	P21 (CDKN1A)-activated kinase 3
DGKG	2.633	1.397	3.322E-12	Diacylglycerol kinase, gamma
CLIP4	2.618	1.388	2.439E-09	
BCL11A	2.613	1.386	2.642E-10	Transcribed locus
RNF182	2.589	1.373	3.555E-05	Ring finger protein 182
RASGRP1	2.586	1.371	1.281E-07	Transcribed locus
D14ERTD171E	2.577	1.365	9.705E-14	
D15WSU169E	2.546	1.349	4.504E-08	
ACTN2	2.523	1.335	1.395E-01	Actinin alpha 2
CENTG1	2.491	1.317	1.431E-04	
CHST1	2.476	1.308	1.570E-09	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
BC018242	2.465	1.301	8.667E-06	CDNA sequence BC018242
SST	2.437	1.285	4.086E-07	
AMIGO2	2.436	1.285	2.665E-09	Transcribed locus
ABR	2.432	1.282	8.498E-05	Active BCR-related gene
MSR2	2.43	1.281	5.113E-06	
CAR12	2.426	1.279	7.850E-04	Carbonic anyhydrase 12
MYCL1	2.401	1.264	3.761E-07	
SYT5	2.397	1.261	4.208E-08	Synaptotagmin V
MB	2.395	1.26	6.595E-01	
TNNC1	2.384	1.253	5.355E-01	
SLC1A1	2.381	1.252	3.739E-09	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), membe
LMTK3	2.375	1.248	2.191E-02	Lemur tyrosine kinase 3
SMPD3	2.369	1.244	1.960E-05	Sphingomyelin phosphodiesterase 3, neutral
RREB1	2.357	1.237	2.009E-10	Ras responsive element binding protein 1
B3GAT1	2.342	1.228	1.616E-08	Beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)
VSTM2A	2.34	1.227	1.083E-07	V-set and transmembrane domain containing 2A
RYR1	2.327	1.219	1.134E-04	Transcribed locus, strongly similar to NP_000531.1 receptor 1 (skeletal) [Homo sapiens]
PLEKHA2	2.316	1.212	4.444E-06	Transcribed locus
4833424O15RIK	2.313	1.209	1.845E-05	Transcribed locus
LTBP4	2.309	1.207	7.829E-06	Latent transforming growth factor beta binding protein 4
CTXN1	2.303	1.204	6.839E-09	Cortexin 1
D10ERTD610E	2.3	1.202	2.234E-11	
GRHL1	2.294	1.198	1.103E-06	Grainyhead-like 1 (Drosophila)
A730017C20RIK	2.287	1.193	2.222E-07	Transcribed locus
PIP5K1B	2.285	1.192	4.913E-06	
WFS1	2.276	1.186	1.266E-06	Wolfram syndrome 1 homolog (human)
NCAN	2.274	1.185	2.128E-06	Neurocan
AI593442	2.257	1.174	1.138E-04	
DAPK1	2.251	1.17	1.199E-06	Death associated protein kinase 1
PCDH17	2.208	1.142	2.596E-05	Protocadherin 17
THBS3	2.191	1.131	4.283E-06	
ACTC1	2.186	1.128	6.595E-01	Actin, alpha, cardiac
CHRD	2.182	1.125	4.091E-05	
GSE1	2.182	1.125	1.026E-06	Genetic suppressor element 1
WNT7B	2.18	1.124	6.494E-05	Wingless-related MMTV integration site 7B
LIN7B	2.176	1.122	3.872E-03	Lin-7 homolog B (C. elegans)
CCL9	2.176	1.121	5.483E-05	Chemokine (C-C motif) ligand 9
TMEM119	2.175	1.121	1.580E-03	Transmembrane protein 119
TLE1	2.174	1.12	3.174E-10	Transducin-like enhancer of split 1, homolog of Drosophila E(spl)
PNMA2	2.174	1.12	4.684E-07	Transcribed locus
CHST2	2.171	1.118	1.710E-02	Carbohydrate sulfotransferase 2
CRYBB1	2.169	1.117	4.840E-08	Crystallin, beta B1
RAPGEFL1	2.167	1.115	1.176E-07	Rap guanine nucleotide exchange factor (GEF)-like 1
HECTD2	2.149	1.104	8.662E-06	HECT domain containing 2
PFKL	2.147	1.102	2.465E-12	Phosphofructokinase, liver, B-type
UCHL1	2.145	1.101	1.495E-05	Transcribed locus, moderately similar to XP_001097839.1 similar to Ubiquitin carboxyl-terminal hydr
SYT16	2.142	1.099	5.634E-08	
LTC4S	2.14	1.097	5.283E-05	Leukotriene C4 synthase
DHX33	2.138	1.096	7.802E-03	DEAH (Asp-Glu-Ala-His) box polypeptide 33
HAP1	2.125	1.087	7.435E-10	Huntingtin-associated protein 1
LAG3	2.124	1.087	4.236E-04	Lymphocyte-activation gene 3
LGI1	2.115	1.081	7.744E-08	Leucine-rich repeat LGI family, member 1
KCNH3	2.112	1.079	3.249E-10	Potassium voltage-gated channel, subfamily H (eag-related), member 3
TLR13	2.111	1.078	6.883E-05	Toll-like receptor 13
DOCK4	2.103	1.072	2.320E-03	Dedicator of cytokinesis 4
WASF1	2.099	1.07	5.133E-12	WASP family 1
ABCB4	2.086	1.061	2.883E-05	ATP-binding cassette, sub-family B (MDR/TAP), member 4
GFAP	2.084	1.059	1.070E-03	Glial fibrillary acidic protein
NRIP3	2.083	1.058	3.388E-04	Nuclear receptor interacting protein 3
PTPRU	2.071	1.051	1.943E-03	Transcribed locus
DENND2A	2.07	1.05	1.525E-03	Transcribed locus
PTPRO	2.058	1.041	4.836E-09	Transcribed locus
SGSM2	2.057	1.041	1.400E-04	Small G protein signaling modulator 2
SUSD4	2.056	1.04	5.853E-07	Sushi domain containing 4
9130213B05RIK	2.053	1.038	5.913E-05	
CCR5	2.051	1.036	6.751E-04	Transcribed locus
MYT1L	2.05	1.036	3.049E-03	Myelin transcription factor 1-like
ARF3	2.046	1.033	4.194E-06	ADP-ribosylation factor 3
RAPGEF5	2.045	1.032	1.559E-03	
B4GALT1	2.045	1.032	1.663E-05	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
MYH6	2.044	1.032	6.233E-01	Myosin, heavy polypeptide 6, cardiac muscle, alpha
MTAP1B	2.037	1.026	2.906E-03	
NNAT	2.036	1.026	8.821E-04	
UPK1B	2.036	1.026	2.997E-05	Uroplakin 1B
CRTC1	2.032	1.023	5.928E-06	CREB regulated transcription coactivator 1
RILPL1	2.03	1.022	1.947E-05	RIKEN cDNA 2900002H16 gene
LRFN2	2.028	1.02	4.542E-06	Leucine rich repeat and fibronectin type III domain containing 2
FSCN1	2.027	1.019	4.595E-03	Fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)
IPPK	2.025	1.018	2.059E-05	Inositol 1,3,4,5,6-pentakisphosphate 2-kinase
ROGDI	2.023	1.017	1.664E-04	Rogdi homolog (Drosophila)
SLC24A3	2.014	1.01	8.752E-10	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
ROBO1	2.013	1.009	1.251E-05	Roundabout homolog 1 (Drosophila)
ASB2	2.012	1.009	6.385E-03	Ankyrin repeat and SOCS box-containing protein 2
MATK	2.012	1.008	7.346E-06	
VGF	2.011	1.008	7.161E-03	VGF nerve growth factor inducible
NSF	2.009	1.006	1.282E-09	N-ethylmaleimide sensitive fusion protein
MERTK	2.005	1.004	1.577E-02	
DLGAP2	2.005	1.004	2.854E-06	Transcribed locus
LPCAT2	2.004	1.003	1.089E-01	Acyltransferase like 1A
PSCD4	2	1	2.248E-02	
LYPD1	1.994	0.996	1.342E-06	Ly6/Plaur domain containing 1
SYN2	1.993	0.995	5.690E-06	
FCGR1	1.991	0.994	5.678E-05	Fc receptor, IgG, high affinity I
D930015E06RIK	1.99	0.993	2.494E-04	RIKEN cDNA D930015E06 gene
ENOX1	1.98	0.986	8.363E-05	
ACTR3B	1.977	0.984	4.209E-05	ARP3 actin-related protein 3 homolog B (yeast)
LRRC33	1.976	0.982	1.166E-03	
SELPLG	1.975	0.982	1.421E-05	Selectin, platelet (p-selectin) ligand
NCKAP1	1.975	0.982	2.725E-04	Transcribed locus
CKMT2	1.968	0.977	5.550E-01	
PITPNM2	1.967	0.976	1.165E-08	Phosphatidylinositol transfer protein, membrane-associated 2
TRIM46	1.964	0.974	5.805E-03	Tripartite motif protein 46
CPLX2	1.96	0.971	7.380E-03	Complexin 2
TNFRSF21	1.959	0.97	7.747E-07	Tumor necrosis factor receptor superfamily, member 21
RASGRF1	1.954	0.967	9.311E-07	RAS protein-specific guanine nucleotide-releasing factor 1
OTUB2	1.954	0.966	7.379E-07	Transcribed locus
OLFML3	1.952	0.965	7.052E-05	Olfactomedin-like 3
CSF3R	1.951	0.964	8.150E-04	
LRRFIP1	1.949	0.963	4.326E-05	Transcribed locus
ADCY9	1.943	0.958	1.012E-02	
ZFP608	1.938	0.955	1.616E-04	Zinc finger protein 608
SLIT2	1.933	0.951	5.510E-04	Slit homolog 2 (Drosophila)
HSPA2	1.933	0.951	6.801E-05	Heat shock protein 2
SYNGR2	1.928	0.947	1.253E-02	Synaptogyrin 2
CYGB	1.926	0.946	2.124E-02	Cytoglobin
SLITRK5	1.919	0.941	2.072E-09	SLIT and NTRK-like family, member 5
IQSEC3	1.914	0.936	8.663E-06	
PLD3	1.912	0.935	3.942E-03	Phospholipase D family, member 3
SRC	1.909	0.933	8.113E-04	Rous sarcoma oncogene
NIN	1.906	0.93	8.707E-08	Ninein
CSRP3	1.903	0.929	5.780E-01	
PDE2A	1.9	0.926	9.591E-11	Phosphodiesterase 2A, cGMP-stimulated
FGD2	1.9	0.926	7.016E-03	FYVE, RhoGEF and PH domain containing 2
CHST7	1.899	0.925	3.055E-03	Carbohydrate (N-acetylglucosamino) sulfotransferase 7
GALNTL4	1.898	0.925	5.819E-04	
ATP2B1	1.894	0.922	4.433E-05	ATPase, Ca++ transporting, plasma membrane 1
GRP	1.894	0.922	2.194E-05	Gastrin releasing peptide
SLC6A7	1.892	0.92	8.044E-08	Solute carrier family 6 (neurotransmitter transporter, L-proline), member 7
ZEB2	1.892	0.92	1.184E-02	Transcribed locus
KCNJ6	1.886	0.915	3.880E-03	
ADCY2	1.885	0.915	1.069E-03	Adenylate cyclase 2
RPL3L	1.881	0.911	5.083E-01	
DLK2	1.88	0.911	3.215E-07	Delta-like 2 homolog (Drosophila)
MLXIPL	1.877	0.908	4.441E-03	MLX interacting protein-like
ITGA11	1.877	0.908	2.703E-05	Integrin, alpha 11
TGFB1	1.876	0.907	6.545E-05	
SPATA2L	1.873	0.906	4.815E-05	Spermatogenesis associated 2-like
PTGS1	1.873	0.905	2.776E-03	Prostaglandin-endoperoxide synthase 1
CX3CL1	1.872	0.904	4.468E-03	Chemokine (C-X3-C motif) ligand 1
ZFHX2	1.871	0.904	6.874E-05	Zinc finger homeobox 2
SLC25A45	1.87	0.903	8.087E-04	
SLC8A2	1.87	0.903	1.353E-03	Solute carrier family 8 (sodium/calcium exchanger), member 2
NFKBIZ	1.866	0.9	2.356E-03	
DRCTNNB1A	1.865	0.899	1.096E-04	
2900046G09RIK	1.859	0.895	4.420E-03	
WAS	1.855	0.892	9.797E-03	Wiskott-Aldrich syndrome homolog (human)
5430432M24RIK	1.847	0.885	5.699E-03	
ARHGEF4	1.843	0.882	3.128E-12	Rho guanine nucleotide exchange factor (GEF) 4
MSRB2	1.842	0.881	8.163E-04	Methionine sulfoxide reductase B2
GRIK5	1.841	0.88	2.790E-05	Glutamate receptor, ionotropic, kainate 5 (gamma 2)
CX3CR1	1.835	0.876	3.766E-03	Chemokine (C-X3-C) receptor 1
P2RY12	1.833	0.875	5.158E-04	Purinergic receptor P2Y, G-protein coupled 12
GRIP1	1.833	0.875	3.675E-03	Glutamate receptor interacting protein 1
IL10RA	1.833	0.874	2.215E-03	Interleukin 10 receptor, alpha
8430415E04RIK	1.829	0.871	1.833E-03	
PPP3CA	1.829	0.871	1.746E-08	Protein phosphatase 3, catalytic subunit, alpha isoform
RGL1	1.828	0.87	3.779E-06	Ral guanine nucleotide dissociation stimulator,-like 1
EBI2	1.821	0.865	2.213E-03	
SAMSN1	1.82	0.864	3.162E-03	SAM domain, SH3 domain and nuclear localization signals, 1
4931440F15RIK	1.817	0.862	2.263E-03	RIKEN cDNA 4931440F15 gene
TNIP2	1.816	0.861	7.282E-04	TNFAIP3 interacting protein 2
LOC100046518	1.812	0.858	1.634E-05	
FYCO1	1.808	0.855	1.000E-04	FYVE and coiled-coil domain containing 1
MGP	1.804	0.851	1.131E-01	
PDGFB	1.792	0.842	7.844E-03	Platelet derived growth factor, B polypeptide
P2RY13	1.791	0.841	7.141E-06	Transcribed locus
TCIRG1	1.79	0.84	2.650E-03	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3
MSH2	1.789	0.839	2.215E-03	Transcribed locus
DENND1C	1.784	0.835	1.241E-04	
JPH3	1.766	0.821	1.796E-04	Junctophilin 3
MMP17	1.766	0.821	1.571E-03	Transcribed locus
POU2F2	1.766	0.82	1.695E-04	POU domain, class 2, transcription factor 2
OLFM1	1.763	0.818	4.249E-05	Olfactomedin 1
HMHA1	1.763	0.818	1.710E-02	Transcribed locus, moderately similar to XP_234898.4 similar to minor histocompatibility antigen HA
FERMT3	1.762	0.817	2.240E-02	
2210412D01RIK	1.76	0.816	1.512E-03	
HPS1	1.76	0.816	3.026E-03	
SNPH	1.76	0.816	2.805E-03	Syntaphilin
FEZF2	1.758	0.814	5.118E-06	
PPP1R13B	1.758	0.814	2.049E-05	Protein phosphatase 1, regulatory (inhibitor) subunit 13B
EXTL1	1.756	0.812	1.216E-02	Exostoses (multiple)-like 1
ZFP365	1.754	0.811	1.320E-02	Zinc finger protein 365
P2RY5	1.753	0.81	4.044E-04	
CRYBA4	1.752	0.809	8.748E-03	Crystallin, beta A4
A430107D22RIK	1.751	0.809	1.250E-02	
SLC15A3	1.751	0.808	2.798E-03	
H2-DMB1	1.749	0.806	2.356E-03	
4930511J11RIK	1.748	0.806	2.792E-04	
ELMOD1	1.744	0.802	5.430E-02	Transcribed locus
HRBL	1.742	0.8	3.086E-07	
GABRB3	1.739	0.799	2.678E-05	Transcribed locus
GPR34	1.739	0.798	5.740E-03	G protein-coupled receptor 34
CHD5	1.736	0.796	3.616E-06	Transcribed locus
COX6A2	1.732	0.793	7.663E-01	
TMEM55B	1.727	0.788	3.056E-03	Transcribed locus
CRHBP	1.727	0.788	8.342E-03	
ARHGEF6	1.725	0.787	2.025E-05	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
SMAD3	1.724	0.786	1.197E-04	Transcribed locus
TMEM100	1.724	0.785	4.433E-04	
TNFAIP8L2	1.72	0.782	1.422E-02	
SLC39A11	1.719	0.781	2.766E-02	Solute carrier family 39 (metal ion transporter), member 11
CAMK2B	1.718	0.78	1.758E-07	
PDE1B	1.717	0.78	5.519E-04	
TLR7	1.709	0.773	7.923E-03	
ELK3	1.709	0.773	1.307E-03	Transcribed locus
ADAM11	1.708	0.772	8.498E-05	A disintegrin and metallopeptidase domain 11
TRAF3	1.707	0.772	7.387E-05	Tnf receptor-associated factor 3
IGSF3	1.707	0.771	2.904E-03	Immunoglobulin superfamily, member 3
SSBP4	1.707	0.771	5.184E-03	
CROCC	1.705	0.77	2.922E-04	Ciliary rootlet coiled-coil, rootletin
PPP1R9B	1.705	0.77	2.997E-05	Protein phosphatase 1, regulatory subunit 9B
LOC100046068	1.703	0.768	1.554E-05	
CMTM7	1.701	0.766	2.460E-02	
CEBPB	1.7	0.765	1.461E-03	CCAAT/enhancer binding protein (C/EBP), beta
CALR	1.7	0.765	2.965E-01	Calreticulin
C1QC	1.699	0.765	1.214E-03	Complement component 1, q subcomponent, C chain
MYOM1	1.698	0.764	4.985E-01	Myomesin 1
UNC93B1	1.698	0.764	5.633E-03	
FAAH	1.697	0.763	2.338E-07	Fatty acid amide hydrolase
ZFP710	1.696	0.762	4.021E-04	Zinc finger protein 710
CYFIP1	1.694	0.76	3.843E-03	Transcribed locus
PARVG	1.691	0.758	7.410E-03	Parvin, gamma
IRF5	1.691	0.758	3.784E-03	Interferon regulatory factor 5
GMIP	1.69	0.757	2.892E-04	Gem-interacting protein
SLC39A6	1.688	0.755	8.846E-07	Solute carrier family 39 (metal ion transporter), member 6
HRC	1.686	0.754	5.098E-01	Histidine rich calcium binding protein
TREM2	1.685	0.753	4.476E-03	Triggering receptor expressed on myeloid cells 2
KCNK6	1.685	0.753	2.213E-03	Potassium inwardly-rectifying channel, subfamily K, member 6
CSF1R	1.684	0.752	2.536E-03	Colony stimulating factor 1 receptor
COX8B	1.682	0.75	6.627E-01	Cytochrome c oxidase, subunit VIIIb
RECQL5	1.681	0.749	6.988E-03	
BZW2	1.679	0.748	4.283E-06	
SNTA1	1.678	0.747	2.039E-03	Syntrophin, acidic 1
SLC16A6	1.677	0.746	9.317E-03	
ODZ4	1.676	0.745	1.816E-03	
VAV1	1.676	0.745	4.460E-03	Vav 1 oncogene
UNC13B	1.672	0.742	1.610E-04	
HAVCR2	1.672	0.742	6.458E-04	Hepatitis A virus cellular receptor 2
CTTNBP2NL	1.67	0.74	1.345E-03	CTTNBP2 N-terminal like
KCNIP2	1.667	0.737	8.436E-03	Kv channel-interacting protein 2
ADAM15	1.665	0.736	2.766E-02	A disintegrin and metallopeptidase domain 15 (metargidin)
PLCG2	1.664	0.735	3.053E-03	Phospholipase C, gamma 2
DLG3	1.662	0.733	5.326E-08	Transcribed locus
DES	1.661	0.732	5.683E-01	Desmin
5830427D03RIK	1.66	0.731	2.811E-02	
B230373P09RIK	1.659	0.73	6.718E-04	
SEZ6L	1.659	0.73	2.047E-08	Seizure related 6 homolog like
LYL1	1.658	0.73	2.288E-05	Lymphoblastomic leukemia
GP9	1.657	0.729	1.303E-03	
IRF8	1.656	0.728	1.145E-01	
CUGBP2	1.653	0.725	4.042E-02	
PTPN6	1.65	0.723	4.311E-03	
CACNG8	1.649	0.722	1.737E-03	Calcium channel, voltage-dependent, gamma subunit 8
TPM3	1.648	0.721	8.038E-02	Transcribed locus, moderately similar to XP_001113453.1 similar to tropomyosin 3, gamma isoform 14
PRKAG2	1.645	0.718	1.023E-03	Protein kinase, AMP-activated, gamma 2 non-catalytic subunit
CDK9	1.642	0.716	9.060E-03	
IRF1	1.641	0.715	1.038E-02	Transcribed locus
RASL10B	1.632	0.707	3.670E-02	RAS-like, family 10, member B
INPP5D	1.632	0.707	2.437E-02	Inositol polyphosphate-5-phosphatase D
MFNG	1.628	0.703	2.112E-02	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
HIST1H2AK	1.626	0.701	2.093E-01	Histone cluster 1, H2ak
BAHD1	1.625	0.7	2.024E-02	Bromo adjacent homology domain containing 1
CD68	1.625	0.7	1.458E-03	CD68 antigen
2310066E14RIK	1.624	0.699	3.328E-02	
TCAP	1.622	0.698	6.145E-01	
PLS3	1.622	0.698	3.940E-01	
PLN	1.621	0.697	5.751E-01	Phospholamban
PPP3R1	1.617	0.693	4.043E-05	Transcribed locus
BRD9	1.616	0.693	9.590E-07	Transcribed locus
CACNB3	1.616	0.692	8.463E-04	Calcium channel, voltage-dependent, beta 3 subunit
GPR84	1.615	0.692	2.839E-02	G protein-coupled receptor 84
HVCN1	1.615	0.691	2.622E-02	Hydrogen voltage-gated channel 1
DCAKD	1.613	0.69	1.514E-05	
CRYL1	1.61	0.687	1.012E-02	Crystallin, lambda 1
TRPC6	1.606	0.683	7.006E-03	Transient receptor potential cation channel, subfamily C, member 6
DGKA	1.605	0.683	5.301E-02	Diacylglycerol kinase, alpha
JPH4	1.605	0.683	5.721E-02	Junctophilin 4
ZFHX3	1.605	0.682	2.044E-03	Transcribed locus
STAB1	1.604	0.682	4.148E-03	Stabilin 1
CELSR2	1.604	0.682	1.437E-04	Cadherin EGF LAG seven-pass G-type receptor 2
KLK8	1.603	0.681	4.096E-02	Kallikrein related-peptidase 8
PARP8	1.6	0.678	1.643E-02	Transcribed locus
LRRC8	1.599	0.677	3.145E-03	
RNASET2	1.598	0.676	1.330E-04	ribonuclease T2
PTP4A3	1.598	0.676	4.140E-02	
MMD2	1.596	0.674	4.227E-08	Transcribed locus
CD86	1.596	0.674	7.739E-03	
PIK3CG	1.595	0.674	8.862E-04	Phosphoinositide-3-kinase, catalytic, gamma polypeptide
LOC100045567	1.595	0.674	3.735E-04	
LGMN	1.594	0.673	2.748E-04	Legumain
TXNIP	1.593	0.672	4.577E-02	Thioredoxin interacting protein
NFATC1	1.592	0.671	2.110E-02	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
TRIT1	1.592	0.671	4.186E-06	Transcribed locus
ARHGDIG	1.591	0.67	1.483E-03	Rho GDP dissociation inhibitor (GDI) gamma
ORAI1	1.591	0.669	1.342E-01	ORAI calcium release-activated calcium modulator 1
HIST1H2AD	1.589	0.668	2.228E-01	Histone cluster 1, H2ad
SEMA4B	1.587	0.666	9.315E-04	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (se
FCGR3	1.584	0.663	1.725E-02	Fc receptor, IgG, low affinity III
4631426J05RIK	1.583	0.663	3.079E-02	
TMEM198	1.583	0.663	1.635E-02	
P2RY6	1.582	0.662	7.757E-04	Pyrimidinergic receptor P2Y, G-protein coupled, 6
