Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
MEIS2	2.84	1.506	9.079E-10	
LOC100046207	2.839	1.505	3.799E-03	
PVRL3	2.815	1.493	1.713E-07	Poliovirus receptor-related 3
CPNE6	2.799	1.485	1.756E-09	
FXYD5	2.79	1.48	4.286E-06	
PRKAR1B	2.787	1.479	5.624E-07	Protein kinase, cAMP dependent regulatory, type I beta
TSHZ3	2.757	1.463	1.282E-06	Teashirt zinc finger family member 3
HOMER1	2.744	1.456	2.447E-09	Homer homolog 1 (Drosophila)
CAMKV	2.737	1.453	7.733E-08	
GTDC1	2.719	1.443	4.669E-07	
STAC2	2.713	1.44	1.672E-06	SH3 and cysteine rich domain 2
IGSF9	2.712	1.439	7.488E-08	Immunoglobulin superfamily, member 9
GUCY1A3	2.689	1.427	4.310E-05	Guanylate cyclase 1, soluble, alpha 3
CACNB3	2.687	1.426	5.524E-09	Calcium channel, voltage-dependent, beta 3 subunit
DPP10	2.68	1.422	6.683E-07	Dipeptidylpeptidase 10
ODZ4	2.67	1.417	9.759E-08	
RGS17	2.666	1.415	6.584E-07	
D130043K22RIK	2.656	1.409	4.011E-10	RIKEN cDNA D130043K22 gene
AW146242	2.653	1.407	8.466E-06	
FHL2	2.649	1.405	7.067E-03	
SYT5	2.644	1.403	4.167E-09	Synaptotagmin V
VSTM2B	2.632	1.396	1.584E-11	V-set and transmembrane domain containing 2B
D14ERTD171E	2.631	1.396	5.269E-14	
SLC6A7	2.626	1.393	1.362E-11	Solute carrier family 6 (neurotransmitter transporter, L-proline), member 7
LOC100045403	2.625	1.392	9.323E-11	
SYTL2	2.616	1.388	5.404E-12	Synaptotagmin-like 2
LMO4	2.606	1.382	2.634E-12	
RASL10B	2.598	1.378	2.409E-05	RAS-like, family 10, member B
SLC35F4	2.598	1.378	7.164E-06	Transcribed locus
EGR1	2.598	1.377	8.654E-05	Early growth response 1
MYRIP	2.587	1.371	8.654E-05	Myosin VIIA and Rab interacting protein
PTPRK	2.582	1.368	3.823E-07	Protein tyrosine phosphatase, receptor type, K
UCHL1	2.576	1.365	3.028E-07	Transcribed locus, moderately similar to XP_001097839.1 similar to Ubiquitin carboxyl-terminal hydr
CSPG5	2.575	1.365	1.046E-08	
ADCY2	2.573	1.364	3.036E-06	Adenylate cyclase 2
LOC100047659	2.566	1.36	1.278E-08	
BAI1	2.538	1.344	3.223E-05	Brain-specific angiogenesis inhibitor 1
DCLK3	2.531	1.34	4.311E-08	Doublecortin-like kinase 3
SGTB	2.526	1.337	1.108E-09	Transcribed locus
PFTK1	2.513	1.33	2.167E-07	
KALRN	2.507	1.326	5.864E-10	
ICAM5	2.506	1.326	9.084E-15	Intercellular adhesion molecule 5, telencephalin
LOC100045359	2.499	1.321	6.279E-09	
PNMA2	2.495	1.319	1.652E-08	Transcribed locus
COL4A1	2.492	1.317	5.316E-09	Collagen, type IV, alpha 1
RPRML	2.486	1.314	5.346E-10	Reprimo-like
CDK9	2.485	1.313	3.429E-06	
AMN	2.482	1.311	1.079E-05	Amnionless
SLIT2	2.481	1.311	4.347E-06	Slit homolog 2 (Drosophila)
CCHCR1	2.48	1.31	2.346E-12	Coiled-coil alpha-helical rod protein 1
9130206N08RIK	2.478	1.309	9.926E-05	
SLC25A18	2.476	1.308	3.876E-07	Solute carrier family 25 (mitochondrial carrier), member 18
GABRG2	2.476	1.308	4.022E-07	Transcribed locus
PDLIM7	2.471	1.305	4.286E-06	
PDE2A	2.454	1.295	5.491E-14	Phosphodiesterase 2A, cGMP-stimulated
CACNA2D1	2.448	1.291	3.643E-04	
CACNA2D3	2.442	1.288	1.154E-08	Calcium channel, voltage-dependent, alpha2/delta subunit 3
COL6A1	2.435	1.284	1.949E-08	Collagen, type VI, alpha 1
PPP1R1A	2.428	1.28	8.710E-05	Protein phosphatase 1, regulatory (inhibitor) subunit 1A
TBR1	2.428	1.279	5.649E-10	T-box brain gene 1
LRRC57	2.425	1.278	1.205E-06	
LPCAT2	2.414	1.271	2.220E-02	Acyltransferase like 1A
FRMD6	2.412	1.27	1.162E-07	FERM domain containing 6
PLEKHG5	2.407	1.267	9.579E-06	Pleckstrin homology domain containing, family G (with RhoGef domain) member 5
CBLN4	2.4	1.263	1.589E-08	Transcribed locus
PIP5KL1	2.391	1.257	7.008E-09	Phosphatidylinositol-4-phosphate 5-kinase-like 1
SEMA4A	2.372	1.246	3.421E-13	
NRN1	2.37	1.245	2.441E-09	Neuritin 1
LOC100044468	2.369	1.244	3.682E-04	
PCDH9	2.365	1.242	5.003E-03	
PHLDA1	2.352	1.234	3.352E-08	Pleckstrin homology-like domain, family A, member 1
GABRB1	2.345	1.23	1.514E-05	Gamma-aminobutyric acid (GABA-A) receptor, subunit beta 1
FGF13	2.333	1.222	1.433E-06	Fibroblast growth factor 13
LOC100041504	2.326	1.218	7.272E-05	
CRHBP	2.321	1.215	4.568E-05	
CHRM3	2.319	1.214	1.827E-10	Cholinergic receptor, muscarinic 3, cardiac
SLC17A6	2.313	1.21	1.247E-03	Solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6
DBN1	2.304	1.204	1.098E-06	Drebrin 1
PTN	2.287	1.193	8.700E-07	
CHST1	2.285	1.192	8.753E-09	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
RGS7	2.28	1.189	6.303E-07	
EVC2	2.266	1.18	1.111E-08	Ellis van Creveld syndrome 2 homolog (human)
DENND3	2.263	1.178	1.183E-06	DENN/MADD domain containing 3
KCNMA1	2.261	1.177	3.058E-04	Potassium large conductance calcium-activated channel, subfamily M, alpha member 1
EPB4.9	2.256	1.174	3.317E-07	
ACTN1	2.253	1.172	1.607E-05	Actinin, alpha 1
ENSA	2.251	1.171	1.433E-05	Endosulfine alpha
RIMS3	2.248	1.168	8.647E-08	Regulating synaptic membrane exocytosis 3
ARPP21	2.247	1.168	1.501E-10	
PAK3	2.236	1.161	4.714E-10	P21 (CDKN1A)-activated kinase 3
A730017C20RIK	2.235	1.16	2.972E-07	Transcribed locus
BC046404	2.223	1.152	2.316E-07	
DLG4	2.221	1.151	5.403E-05	Discs, large homolog 4 (Drosophila)
EPHB6	2.219	1.15	4.999E-11	Eph receptor B6
PTPRN	2.217	1.149	7.188E-06	
LTBP4	2.21	1.144	1.434E-05	Latent transforming growth factor beta binding protein 4
ARHGAP20	2.202	1.139	3.591E-05	Rho GTPase activating protein 20
RASGRP1	2.198	1.136	2.912E-06	Transcribed locus
PRMT8	2.195	1.134	7.226E-04	Protein arginine N-methyltransferase 8
SARS	2.182	1.126	1.456E-03	Seryl-aminoacyl-tRNA synthetase
LOC100045343	2.181	1.125	1.675E-06	
ALCAM	2.178	1.123	8.506E-04	Activated leukocyte cell adhesion molecule
HNT	2.165	1.115	2.057E-04	
RESP18	2.163	1.113	9.602E-02	Regulated endocrine-specific protein 18
CACNA1H	2.162	1.112	9.138E-10	Calcium channel, voltage-dependent, T type, alpha 1H subunit
FBXO34	2.158	1.109	2.201E-08	F-box protein 34
NIN	2.156	1.108	2.269E-09	Ninein
PRICKLE1	2.154	1.107	1.777E-07	Prickle like 1 (Drosophila)
GCNT2	2.152	1.106	5.686E-06	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
2010004A03RIK	2.137	1.096	1.362E-11	
LRRFIP1	2.133	1.093	4.827E-06	Transcribed locus
NEU2	2.132	1.092	1.011E-04	Neuraminidase 2
GPR123	2.123	1.086	1.643E-07	G protein-coupled receptor 123
AGPAT7	2.118	1.083	3.843E-04	
D430041B17RIK	2.118	1.082	8.243E-08	
RASL11B	2.118	1.082	1.548E-08	RAS-like, family 11, member B
HTATIP2	2.115	1.081	2.736E-04	
CYB561	2.113	1.079	2.980E-03	Cytochrome b-561
LYPD1	2.11	1.078	2.560E-07	Ly6/Plaur domain containing 1
FBXW7	2.107	1.075	1.809E-07	Transcribed locus
NSG2	2.103	1.072	3.245E-04	Neuron specific gene family member 2
A330021E22RIK	2.102	1.072	3.639E-06	RIKEN cDNA A330021E22 gene
FCHO1	2.1	1.07	1.652E-08	
CENTG1	2.098	1.069	1.529E-03	
TNFRSF19	2.086	1.061	2.732E-07	Tumor necrosis factor receptor superfamily, member 19
SORCS3	2.079	1.056	6.999E-09	Sortilin-related VPS10 domain containing receptor 3
ARF3	2.077	1.055	2.242E-06	ADP-ribosylation factor 3
WNT4	2.054	1.038	7.230E-09	Wingless-related MMTV integration site 4
EXTL1	2.046	1.033	9.876E-04	Exostoses (multiple)-like 1
LOC100046044	2.043	1.031	1.250E-10	
CCL27	2.034	1.024	4.717E-08	chemokine (C-C motif) ligand 27
CXADR	2.031	1.022	9.136E-03	Transcribed locus
CRYBB1	2.025	1.018	2.239E-07	Crystallin, beta B1
JAKMIP1	2.024	1.017	9.390E-06	Janus kinase and microtubule interacting protein 1
CRTAC1	2.022	1.016	2.193E-09	Cartilage acidic protein 1
GARNL4	2.018	1.013	5.518E-06	
LMTK2	2.003	1.002	1.743E-09	Lemur tyrosine kinase 2
ABHD7	2	1	1.145E-03	
ACSL5	1.996	0.997	3.098E-07	Acyl-CoA synthetase long-chain family member 5
HRH3	1.992	0.994	1.286E-05	Histamine receptor H 3
PCSK2	1.985	0.989	1.559E-06	Proprotein convertase subtilisin/kexin type 2
SATB1	1.979	0.985	6.560E-11	
RASAL1	1.978	0.984	4.469E-06	RAS protein activator like 1 (GAP1 like)
RIN1	1.977	0.984	1.694E-06	Ras and Rab interactor 1
DBC1	1.976	0.982	2.583E-06	
NTN2L	1.966	0.975	7.126E-04	
ABR	1.963	0.973	2.131E-03	Active BCR-related gene
EG368203	1.96	0.971	5.559E-04	
PLCD1	1.958	0.969	1.520E-03	
CPNE4	1.957	0.969	3.505E-05	Copine IV
IQSEC3	1.956	0.968	3.926E-06	
FJX1	1.953	0.966	3.029E-05	Four jointed box 1 (Drosophila)
SYNE1	1.949	0.962	2.142E-05	Transcribed locus, strongly similar to XP_001100347.1 similar to nesprin 1 isoform longer [Macaca m
MATK	1.948	0.962	1.217E-05	
TMEM198	1.944	0.959	3.245E-04	
MFGE8	1.942	0.958	3.371E-05	Milk fat globule-EGF factor 8 protein
PTPN5	1.94	0.956	5.097E-04	Transcribed locus
CLDN10	1.94	0.956	1.867E-06	
A930034L06RIK	1.939	0.955	2.273E-07	
6330403K07RIK	1.937	0.954	2.049E-06	RIKEN cDNA 6330403K07 gene
SLC2A13	1.937	0.954	1.108E-04	Solute carrier family 2 (facilitated glucose transporter), member 13
ANKRD13D	1.936	0.953	6.728E-02	Ankyrin repeat domain 13 family, member D
B930076A02	1.93	0.949	1.662E-03	
COL16A1	1.93	0.948	1.184E-05	Collagen, type XVI, alpha 1
AI987692	1.928	0.947	3.813E-04	
CDKL2	1.927	0.946	3.130E-04	Cyclin-dependent kinase-like 2 (CDC2-related kinase)
INHA	1.926	0.946	1.683E-02	Inhibin alpha
PPP2R2B	1.926	0.946	1.759E-02	Transcribed locus, moderately similar to XP_001092928.1 similar to gamma isoform of regulatory subu
6430411K18Rik	1.924	0.944	1.167E-05	
ATXN1	1.922	0.943	1.236E-02	Ataxin 1
NVL	1.92	0.941	4.086E-07	Nuclear VCP-like
KCNH1	1.917	0.939	6.275E-03	Transcribed locus
CAMK2G	1.915	0.937	1.809E-07	Calcium/calmodulin-dependent protein kinase II gamma
RASL10A	1.914	0.937	1.420E-08	RAS-like, family 10, member A
ADCY8	1.911	0.935	2.160E-03	Adenylate cyclase 8
LMTK3	1.911	0.935	1.095E-01	Lemur tyrosine kinase 3
FOXG1	1.911	0.934	4.549E-03	RIKEN cDNA 3110039M20 gene
HSF4	1.909	0.932	6.892E-09	
CD6	1.908	0.932	3.597E-10	CD6 antigen
VSTM2A	1.908	0.932	1.055E-05	V-set and transmembrane domain containing 2A
PHACTR1	1.902	0.927	7.487E-07	Phosphatase and actin regulator 1
ABCB9	1.899	0.925	1.858E-03	ATP-binding cassette, sub-family B (MDR/TAP), member 9
SCARA3	1.897	0.924	7.640E-03	Scavenger receptor class A, member 3
BCL11A	1.897	0.923	6.147E-07	Transcribed locus
PRKG2	1.895	0.922	3.305E-08	Protein kinase, cGMP-dependent, type II
SYT13	1.89	0.918	8.712E-05	Transcribed locus
MMD	1.889	0.918	2.777E-06	Monocyte to macrophage differentiation-associated
MAPK11	1.889	0.917	4.437E-06	
1810015A11RIK	1.885	0.914	4.855E-04	
LAG3	1.883	0.913	2.525E-03	Lymphocyte-activation gene 3
MFSD11	1.882	0.913	4.509E-04	Transcribed locus
SOX5	1.879	0.91	1.700E-03	
SCN1A	1.877	0.908	6.142E-03	Transcribed locus, moderately similar to NP_956426.2 channel, voltage-gated, type I, alpha [Danio r
OTOF	1.874	0.906	8.619E-07	Otoferlin
MSR2	1.874	0.906	5.729E-04	
ACTR3B	1.87	0.903	1.178E-04	ARP3 actin-related protein 3 homolog B (yeast)
MYEF2	1.87	0.903	7.234E-03	
TBC1D2	1.864	0.898	3.077E-03	TBC1 domain family, member 2
RTN2	1.863	0.898	4.797E-04	
LUZP2	1.861	0.896	3.823E-04	Leucine zipper protein 2
DLGAP3	1.86	0.896	2.910E-07	
GCA	1.86	0.895	4.788E-04	Transcribed locus
RAB6	1.859	0.894	1.682E-02	
KIF1A	1.852	0.889	6.261E-04	
CROCC	1.852	0.889	3.308E-05	Ciliary rootlet coiled-coil, rootletin
BHLHB2	1.852	0.889	1.751E-08	
SERPINE2	1.851	0.888	2.401E-05	Transcribed locus
TCEA2	1.85	0.888	1.534E-09	
DCTD	1.849	0.886	6.661E-05	Transcribed locus
PITPNM3	1.848	0.886	3.890E-05	PITPNM family member 3
NRXN3	1.846	0.884	2.234E-04	Transcribed locus
WDR60	1.845	0.884	2.466E-06	WD repeat domain 60
C1QTNF4	1.843	0.882	2.700E-05	
HPCA	1.843	0.882	9.616E-06	Hippocalcin
PER1	1.834	0.875	2.378E-02	Period homolog 1 (Drosophila)
ACTR1B	1.833	0.874	7.777E-06	ARP1 actin-related protein 1 homolog B (yeast)
LRRTM1	1.832	0.873	8.398E-05	Leucine rich repeat transmembrane neuronal 1
SGSM2	1.831	0.873	1.056E-03	Small G protein signaling modulator 2
2810022L02RIK	1.83	0.872	1.528E-07	
HOOK1	1.829	0.871	5.470E-03	Transcribed locus
RUSC1	1.828	0.87	1.520E-03	RUN and SH3 domain containing 1
SOCS2	1.828	0.87	3.926E-06	Suppressor of cytokine signaling 2
LRP4	1.826	0.869	5.671E-03	Low density lipoprotein receptor-related protein 4
LOC100046393	1.821	0.865	1.031E-03	
JDP2	1.821	0.865	7.985E-06	Jun dimerization protein 2
SLC25A36	1.821	0.865	7.189E-04	Transcribed locus
HACE1	1.82	0.864	1.639E-05	
SIPA1L1	1.816	0.861	6.542E-07	Signal-induced proliferation-associated 1 like 1
ERF	1.815	0.86	1.206E-03	Ets2 repressor factor
ANXA11	1.815	0.86	1.486E-03	
5730507A09RIK	1.808	0.854	3.054E-04	
SEMA3A	1.808	0.854	2.745E-04	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
NRARP	1.806	0.853	1.331E-03	Transcribed locus
BC025076	1.806	0.853	2.791E-05	
LOC100045542	1.806	0.853	2.511E-06	
EXDL2	1.803	0.851	6.361E-08	
GLUD1	1.803	0.851	2.207E-02	Glutamate dehydrogenase 1
PALMD	1.803	0.85	2.416E-02	Transcribed locus
PCNXL2	1.802	0.85	1.758E-06	Pecanex-like 2 (Drosophila)
EPB4.1L2	1.801	0.849	1.289E-01	Erythrocyte protein band 4.1-like 2
ELAVL2	1.8	0.848	2.803E-04	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)
CALR	1.793	0.843	2.016E-01	Calreticulin
MGST3	1.793	0.842	1.136E-03	
NUDT10	1.791	0.84	2.365E-06	Nudix (nucleoside diphosphate linked moiety X)-type motif 10
FOS	1.788	0.838	4.057E-01	FBJ osteosarcoma oncogene
SNPH	1.787	0.838	1.759E-03	Syntaphilin
MTAP6	1.787	0.837	3.427E-08	
RBMS1	1.786	0.837	1.598E-03	Transcribed locus
NELL2	1.786	0.836	1.470E-03	NEL-like 2 (chicken)
OPRL1	1.775	0.828	1.503E-03	Transcribed locus, strongly similar to XP_001131314.1 similar to opiate receptor-like 1 [Homo sapie
CCR5	1.774	0.827	5.890E-03	Transcribed locus
CNIH3	1.772	0.825	1.910E-04	
OMG	1.771	0.825	1.662E-04	Transcribed locus
HDAC7	1.77	0.824	8.312E-03	
ASTN1	1.77	0.824	1.589E-08	
THY1	1.77	0.823	1.592E-05	Thymus cell antigen 1, theta
CCL21B	1.767	0.821	3.823E-04	Chemokine (C-C motif) ligand 21a
LOC100048083	1.763	0.818	2.581E-03	
RILPL1	1.762	0.817	3.643E-04	RIKEN cDNA 2900002H16 gene
GABBR1	1.761	0.816	7.741E-04	Gamma-aminobutyric acid (GABA-B) receptor, 1
MAS1	1.759	0.815	5.686E-06	MAS1 oncogene
HOOK2	1.756	0.812	1.316E-02	
MGLL	1.75	0.807	1.305E-05	Monoglyceride lipase
CYP51	1.744	0.803	5.278E-03	Cytochrome P450, family 51
9130422G05RIK	1.744	0.802	1.055E-02	
CCL21C	1.741	0.8	7.834E-04	Chemokine (C-C motif) ligand 21a
IQCE	1.74	0.799	7.782E-03	
MTHFSD	1.739	0.799	2.339E-02	
NRCAM	1.738	0.798	3.028E-07	Neuron-glia-CAM-related cell adhesion molecule
MAN2A1	1.738	0.798	7.563E-05	Mannosidase 2, alpha 1
IMPDH1	1.734	0.794	5.337E-05	Inosine 5'-phosphate dehydrogenase 1
1700025K23RIK	1.731	0.792	1.309E-01	
CLIP4	1.728	0.79	4.682E-05	
OLFM1	1.724	0.786	6.290E-05	Olfactomedin 1
SPATA2L	1.724	0.786	2.858E-04	Spermatogenesis associated 2-like
TCTN3	1.724	0.786	9.038E-07	
CORO6	1.721	0.784	1.165E-02	Coronin, actin binding protein 6
TACC1	1.721	0.784	1.347E-01	Transforming, acidic coiled-coil containing protein 1
PLEKHA4	1.721	0.783	3.991E-05	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4
Ccdc41	1.721	0.783	4.535E-05	
ELFN2	1.719	0.781	3.742E-05	Leucine rich repeat and fibronectin type III, extracellular 2
SLITRK5	1.717	0.78	7.312E-08	SLIT and NTRK-like family, member 5
DOS	1.717	0.779	1.232E-06	Downstream of Stk11
MYH10	1.714	0.777	9.780E-04	Myosin, heavy polypeptide 10, non-muscle
SLC4A3	1.709	0.773	1.179E-04	
LRRC24	1.709	0.773	2.621E-06	Leucine rich repeat containing 24
BC018242	1.707	0.771	5.216E-03	CDNA sequence BC018242
ZRANB3	1.705	0.77	8.590E-03	
UNC84A	1.702	0.767	1.743E-09	
RPO2TC1	1.7	0.766	3.998E-03	
CXX1C	1.699	0.765	1.622E-02	
RAB3GAP2	1.695	0.761	2.971E-03	
RAPGEF5	1.693	0.76	2.090E-02	
DACT2	1.693	0.76	8.785E-11	
SGSM3	1.692	0.759	3.773E-03	Small G protein signaling modulator 3
MFSD2	1.691	0.758	8.534E-02	
TYRO3	1.69	0.757	2.689E-02	TYRO3 protein tyrosine kinase 3
MS4A6D	1.686	0.753	3.057E-02	Membrane-spanning 4-domains, subfamily A, member 6D
ARHGAP1	1.685	0.753	5.359E-02	Rho GTPase activating protein 1
RAPGEF4	1.685	0.752	9.451E-03	Rap guanine nucleotide exchange factor (GEF) 4
AGRN	1.681	0.75	2.132E-06	Transcribed locus
SRPK1	1.681	0.749	1.752E-05	
1810007P19RIK	1.68	0.748	1.362E-03	
NXPH1	1.677	0.746	1.088E-02	Neurexophilin 1
RGL1	1.676	0.745	3.404E-05	Ral guanine nucleotide dissociation stimulator,-like 1
PDGFRA	1.676	0.745	5.981E-03	Platelet derived growth factor receptor, alpha polypeptide
STAU2	1.67	0.74	3.145E-02	Staufen (RNA binding protein) homolog 2 (Drosophila)
DCLK1	1.664	0.735	1.156E-04	Transcribed locus
LOC100047427	1.664	0.734	1.160E-01	
BCAN	1.662	0.733	1.340E-01	Brevican
RAMP1	1.662	0.733	2.394E-03	Receptor (calcitonin) activity modifying protein 1
NAGK	1.661	0.732	4.772E-08	N-acetylglucosamine kinase
KCNAB2	1.661	0.732	7.939E-06	Potassium voltage-gated channel, shaker-related subfamily, beta member 2
PHTF1	1.66	0.731	4.531E-04	Putative homeodomain transcription factor 1
TMEM42	1.66	0.731	1.014E-03	Transmembrane protein 42
BAI2	1.658	0.73	7.168E-03	
COL23A1	1.657	0.729	1.088E-02	Collagen, type XXIII, alpha 1
GNA-RS1	1.656	0.728	2.232E-06	
SYT1	1.655	0.727	1.071E-04	Synaptotagmin I
2810452K22RIK	1.653	0.725	2.820E-03	
SLC40A1	1.653	0.725	3.317E-03	Solute carrier family 40 (iron-regulated transporter), member 1
TPM3	1.652	0.724	6.825E-02	Transcribed locus, moderately similar to XP_001113453.1 similar to tropomyosin 3, gamma isoform 14
YAF2	1.652	0.724	2.090E-02	Transcribed locus
CCDC88A	1.651	0.723	3.786E-04	Coiled coil domain containing 88A
PITPNM2	1.647	0.72	2.554E-06	Phosphatidylinositol transfer protein, membrane-associated 2
GSTZ1	1.647	0.72	1.120E-05	Glutathione transferase zeta 1 (maleylacetoacetate isomerase)
FCGR2B	1.646	0.719	2.394E-03	
APBA2	1.646	0.719	5.100E-04	Amyloid beta (A4) precursor protein-binding, family A, member 2
B230373P09RIK	1.643	0.716	6.982E-04	
BZRAP1	1.643	0.716	1.740E-05	
