Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
KCNJ12	4.444	2.152	2.733E-20	
AKAP12	4.383	2.132	7.752E-14	A kinase (PRKA) anchor protein (gravin) 12
BC025546	4.314	2.109	4.274E-12	
SERPING1	4.308	2.107	1.518E-09	Serine (or cysteine) peptidase inhibitor, clade G, member 1
B930041F14RIK	4.279	2.097	5.772E-15	RIKEN cDNA B930041F14 gene
ANKRD56	4.266	2.093	4.310E-11	
PXN	4.253	2.089	2.193E-08	Paxillin
SLC9A3R2	4.212	2.075	1.529E-13	
LOC100045551	4.206	2.072	5.656E-13	
PIK3IP1	4.194	2.068	3.711E-17	Phosphoinositide-3-kinase interacting protein 1
ATP1B2	4.179	2.063	7.372E-12	Transcribed locus
UNCX	4.174	2.061	3.515E-11	Unc4.1 homeobox (C. elegans)
BC057371	4.173	2.061	1.587E-08	
SCN2B	4.159	2.056	1.013E-10	Sodium channel, voltage-gated, type II, beta
DAB2IP	4.156	2.055	4.392E-18	Disabled homolog 2 (Drosophila) interacting protein
CAR15	4.133	2.047	8.758E-17	
ECE1	4.095	2.034	2.658E-11	Endothelin converting enzyme 1
2610002J02RIK	4.075	2.027	3.792E-16	RIKEN cDNA 2610002J02 gene
FBXO27	4.057	2.02	1.115E-10	F-box protein 27
CHGB	4.051	2.018	7.356E-13	Chromogranin B
AGXT2L2	4.029	2.01	7.727E-12	
SLC15A2	4.008	2.003	9.935E-08	Solute carrier family 15 (H+/peptide transporter), member 2
AGPAT5	3.986	1.995	1.613E-15	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)
FUT8	3.938	1.977	1.313E-10	Transcribed locus
2900062L11RIK	3.924	1.972	6.303E-13	
BAT5	3.923	1.972	2.671E-11	
TMEM132A	3.916	1.969	7.746E-07	
SMARCD2	3.913	1.968	5.585E-13	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
ABCC8	3.893	1.961	5.303E-07	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
TIAM1	3.873	1.953	2.820E-17	T-cell lymphoma invasion and metastasis 1
CDC42EP4	3.866	1.951	1.877E-07	CDC42 effector protein (Rho GTPase binding) 4
GPSM1	3.833	1.938	3.089E-08	G-protein signalling modulator 1 (AGS3-like, C. elegans)
NSG1	3.785	1.92	1.390E-13	Neuron specific gene family member 1
6430550H21RIK	3.754	1.908	6.700E-13	
D330017J20RIK	3.753	1.908	2.217E-12	
CPT1B	3.74	1.903	5.580E-04	Carnitine palmitoyltransferase 1b, muscle
ADAMTS18	3.739	1.903	1.584E-20	A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18
EFEMP2	3.739	1.903	1.344E-11	Epidermal growth factor-containing fibulin-like extracellular matrix protein 2
GPR37L1	3.736	1.902	5.922E-10	G protein-coupled receptor 37-like 1
B230209C24RIK	3.731	1.9	1.385E-08	
ELOVL4	3.722	1.896	7.366E-10	Transcribed locus
PLCH2	3.709	1.891	4.838E-15	
IL16	3.705	1.889	1.980E-13	Interleukin 16
BEX4	3.684	1.881	5.812E-16	Transcribed locus, moderately similar to XP_001053534.1 similar to Bex4 protein [Rattus norvegicus]
MGAT3	3.679	1.879	4.197E-07	Mannoside acetylglucosaminyltransferase 3
TMEM59L	3.674	1.877	3.771E-10	Transmembrane protein 59-like
GPRC5B	3.668	1.875	1.976E-11	G protein-coupled receptor, family C, group 5, member B
MYL2	3.666	1.874	3.203E-01	
STAT2	3.662	1.873	1.492E-10	Signal transducer and activator of transcription 2
RIMS3	3.659	1.871	1.159E-12	Regulating synaptic membrane exocytosis 3
SEMA6D	3.658	1.871	4.264E-10	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
HNT	3.652	1.869	1.184E-08	
TESC	3.637	1.863	1.233E-08	Tescalcin
LCAT	3.608	1.851	4.058E-10	Lecithin cholesterol acyltransferase
TRABD	3.599	1.848	1.719E-09	TraB domain containing
CYP2D22	3.598	1.847	1.840E-07	
LRRN1	3.582	1.841	3.182E-08	Leucine rich repeat protein 1, neuronal
MPP6	3.574	1.837	1.044E-14	Membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)
TRIOBP	3.572	1.837	2.406E-11	TRIO and F-actin binding protein
TMEM132E	3.55	1.828	1.097E-13	Transmembrane protein 132E
2310045A20RIK	3.533	1.821	2.455E-13	
FBXO3	3.531	1.82	5.374E-10	F-box protein 3
SLC41A3	3.519	1.815	1.870E-11	Solute carrier family 41, member 3
S100B	3.516	1.814	5.021E-11	S100 protein, beta polypeptide, neural
IGF2R	3.485	1.801	2.348E-11	Insulin-like growth factor 2 receptor
6330442E10RIK	3.474	1.797	1.927E-11	
KCNE1L	3.437	1.781	1.400E-13	Potassium voltage-gated channel, Isk-related family, member 1-like
SYT4	3.424	1.775	2.063E-12	Synaptotagmin IV
TMEM2	3.418	1.773	9.395E-09	Transmembrane protein 2
TLE2	3.409	1.769	3.757E-11	
1810009N02RIK	3.4	1.765	1.241E-09	
CCNDBP1	3.384	1.759	3.423E-11	Transcribed locus
SEPT8	3.377	1.756	2.246E-11	Transcribed locus
SORL1	3.372	1.753	5.027E-14	Sortilin-related receptor, LDLR class A repeats-containing
MDK	3.368	1.752	1.361E-13	
PSD2	3.361	1.749	5.797E-11	Pleckstrin and Sec7 domain containing 2
SPRY3	3.352	1.745	1.414E-10	Sprouty homolog 3 (Drosophila)
TMEM108	3.348	1.744	4.418E-08	
ZIC3	3.346	1.742	6.504E-13	Zinc finger protein of the cerebellum 3
TMEM201	3.345	1.742	1.699E-14	DNA segment, Chr 4, ERATO Doi 429, expressed
PDE6A	3.344	1.742	1.288E-04	Phosphodiesterase 6A, cGMP-specific, rod, alpha
PIP5K1B	3.34	1.74	8.618E-10	
B230317C12RIK	3.335	1.738	1.346E-12	
PRUNE	3.326	1.734	1.070E-10	Prune homolog (Drosophila)
FGF1	3.325	1.734	1.564E-06	Fibroblast growth factor 1
BCL6	3.301	1.723	4.135E-13	B-cell leukemia/lymphoma 6
TBC1D8	3.274	1.711	1.069E-07	TBC1 domain family, member 8
GPR158	3.265	1.707	2.632E-13	G protein-coupled receptor 158
ACCN2	3.265	1.707	1.075E-11	
ACOT11	3.264	1.706	1.205E-05	Acyl-CoA thioesterase 11
SPOCK1	3.251	1.701	7.146E-06	
NDRG3	3.248	1.7	4.346E-06	Transcribed locus
RAD54L	3.244	1.698	1.901E-13	RAD54 like (S. cerevisiae)
1190002N15RIK	3.239	1.695	1.617E-15	RIKEN cDNA 1190002N15 gene
MB	3.237	1.694	3.021E-01	
SHD	3.236	1.694	1.065E-13	
HAPLN4	3.234	1.694	1.505E-11	Hyaluronan and proteoglycan link protein 4
DDO	3.226	1.69	5.898E-13	Transcribed locus
GNG13	3.219	1.686	4.416E-12	Guanine nucleotide binding protein 13, gamma
SPOCK2	3.218	1.686	4.024E-10	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2
NEK3	3.198	1.677	4.232E-12	NIMA (never in mitosis gene a)-related expressed kinase 3
EPHA3	3.192	1.674	4.120E-08	Eph receptor A3
AI987692	3.164	1.662	1.238E-08	
TMEM63C	3.151	1.656	2.539E-15	
PQLC1	3.15	1.656	8.553E-15	
ASTN2	3.148	1.654	1.850E-07	Astrotactin 2
MEGF10	3.145	1.653	4.536E-10	Multiple EGF-like-domains 10
CCBL1	3.131	1.646	2.373E-13	
D11BWG0517E	3.129	1.646	1.027E-11	
ATP1A1	3.125	1.644	9.228E-16	ATPase, Na+/K+ transporting, alpha 1 polypeptide
CALN1	3.112	1.638	1.163E-14	Calneuron 1
APLP2	3.11	1.637	2.427E-14	Amyloid beta (A4) precursor-like protein 2
TWSG1	3.105	1.634	4.783E-09	Twisted gastrulation homolog 1 (Drosophila)
MAPK6	3.104	1.634	4.690E-10	Mitogen-activated protein kinase 6
TPRA40	3.104	1.634	4.228E-10	
BC006662	3.104	1.634	1.384E-12	
DNMT3B	3.095	1.63	2.238E-09	Transcribed locus
TARBP2	3.087	1.626	1.012E-08	
PORCN	3.086	1.626	5.832E-14	
LMNB2	3.077	1.622	7.705E-10	Transcribed locus
SIRT1	3.075	1.621	7.584E-07	Sirtuin 1 ((silent mating type information regulation 2, homolog) 1 (S. cerevisiae)
CNKSR2	3.073	1.62	4.294E-07	Transcribed locus
TLCD1	3.07	1.618	1.527E-10	TLC domain containing 1
S100A8	3.065	1.616	6.353E-02	
MUS81	3.064	1.616	4.890E-09	MUS81 endonuclease homolog (yeast)
RCAN3	3.045	1.606	1.946E-12	Regulator of calcineurin 3
GPR68	3.035	1.602	4.312E-10	G protein-coupled receptor 68
CLSTN3	3.034	1.601	8.116E-16	Calsyntenin 3
SLC6A15	3.033	1.601	3.660E-07	Transcribed locus
SNX25	3.032	1.6	8.509E-14	Sorting nexin 25
PPARGC1B	3.026	1.597	3.521E-14	Peroxisome proliferative activated receptor, gamma, coactivator 1 beta
DPYSL4	3.023	1.596	3.683E-11	
SEMA7A	3.02	1.594	3.459E-07	Sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A
1200009O22RIK	3.016	1.593	9.929E-12	
CYP2J9	3.015	1.592	1.790E-06	Cytochrome P450, family 2, subfamily j, polypeptide 9
E130203B14RIK	3.012	1.591	1.272E-16	
POLD1	2.998	1.584	7.236E-07	
DNAJC4	2.984	1.577	2.435E-09	
SHMT2	2.982	1.576	1.320E-10	Serine hydroxymethyltransferase 2 (mitochondrial)
FAIM2	2.981	1.576	5.797E-11	Fas apoptotic inhibitory molecule 2
OVGP1	2.978	1.574	2.320E-09	Transcribed locus
ZFP446	2.975	1.573	2.772E-12	Zinc finger protein 446
RAB4A	2.975	1.573	4.895E-09	RAB4A, member RAS oncogene family
6430548M08RIK	2.974	1.572	1.176E-05	
ZFP385C	2.967	1.569	9.098E-13	RIKEN cDNA A930006D11Rik gene
SEPN1	2.963	1.567	4.386E-11	Selenoprotein N, 1
DIRAS2	2.959	1.565	4.278E-11	DIRAS family, GTP-binding RAS-like 2
SLITRK4	2.956	1.564	1.904E-08	SLIT and NTRK-like family, member 4
BMP1	2.953	1.562	6.893E-10	Transcribed locus
GDPD5	2.946	1.559	4.209E-06	Glycerophosphodiester phosphodiesterase domain containing 5
CADM3	2.939	1.555	1.083E-14	Cell adhesion molecule 3
ACSBG1	2.936	1.554	4.081E-07	Acyl-CoA synthetase bubblegum family member 1
TPCN2	2.933	1.552	1.448E-09	Two pore segment channel 2
PITPNM1	2.925	1.548	1.920E-03	
MKRN3	2.915	1.543	3.932E-14	Makorin, ring finger protein, 3
DGKG	2.908	1.54	6.439E-14	Diacylglycerol kinase, gamma
CORO2B	2.898	1.535	3.013E-08	Coronin, actin binding protein, 2B
ETV1	2.897	1.535	1.432E-07	Transcribed locus
PLEKHG4	2.896	1.534	2.085E-09	
GPM6A	2.891	1.532	6.576E-10	Glycoprotein m6a
UNC13C	2.883	1.528	1.383E-11	Unc-13 homolog C (C. elegans)
D930005D10RIK	2.88	1.526	1.052E-07	
PITPNM3	2.875	1.524	6.165E-10	PITPNM family member 3
PCSK4	2.873	1.522	2.198E-10	
CACNA1A	2.872	1.522	6.839E-06	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
PPP2R5B	2.871	1.522	3.943E-13	Protein phosphatase 2, regulatory subunit B (B56), beta isoform
BTBD3	2.87	1.521	4.398E-08	BTB (POZ) domain containing 3
APH1B	2.867	1.52	1.162E-11	Transcribed locus
TST	2.862	1.517	2.167E-05	Thiosulfate sulfurtransferase, mitochondrial
NCAPD2	2.861	1.516	4.267E-06	Non-SMC condensin I complex, subunit D2
REV3L	2.852	1.512	5.669E-07	Transcribed locus
UNC5C	2.851	1.511	7.955E-09	Unc-5 homolog C (C. elegans)
SLC16A11	2.85	1.511	6.243E-10	Solute carrier family 16 (monocarboxylic acid transporters), member 11
MARCH6	2.847	1.51	9.414E-07	Membrane-associated ring finger (C3HC4) 6
AKAP7	2.847	1.509	2.908E-13	A kinase (PRKA) anchor protein 7
SLCO3A1	2.836	1.504	7.366E-10	Solute carrier organic anion transporter family, member 3a1
MIF4GD	2.834	1.503	6.721E-07	MIF4G domain containing
4933426M11RIK	2.82	1.496	2.176E-06	RIKEN cDNA 4933426M11 gene
SEMA4G	2.81	1.49	7.216E-06	
STMN3	2.809	1.49	4.856E-12	Transcribed locus
TMEM41B	2.804	1.487	1.521E-13	Transcribed locus, weakly similar to XP_001095986.1 similar to transmembrane protein 41A [Macaca mu
ECHDC2	2.799	1.485	3.301E-13	Enoyl Coenzyme A hydratase domain containing 2
NRXN2	2.797	1.484	4.082E-08	Neurexin II
SVEP1	2.793	1.482	1.946E-12	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
ZDHHC17	2.79	1.48	3.575E-07	Transcribed locus
AIFM3	2.786	1.478	7.671E-07	Transcribed locus
LUZP2	2.781	1.476	4.334E-08	Leucine zipper protein 2
9430069J07RIK	2.774	1.472	9.769E-09	
CSDC2	2.77	1.47	2.238E-09	
TUBG1	2.761	1.465	1.201E-07	Tubulin, gamma 1
OTX2	2.755	1.462	8.101E-05	Transcribed locus
SH3GL2	2.755	1.462	7.750E-16	Transcribed locus
STARD10	2.751	1.46	9.452E-08	START domain containing 10
MYL3	2.75	1.459	4.196E-01	
FDXR	2.734	1.451	8.571E-09	Transcribed locus
AI428936	2.728	1.448	6.026E-10	
MBC2	2.706	1.436	5.233E-07	
TBC1D25	2.7	1.433	5.083E-06	TBC1 domain family, member 25
CCDC92	2.697	1.431	1.242E-10	Coiled-coil domain containing 92
RNF123	2.693	1.429	5.452E-10	Ring finger protein 123
0610007P14RIK	2.692	1.429	1.648E-06	
ABCA7	2.69	1.427	3.911E-11	ATP-binding cassette, sub-family A (ABC1), member 7
GPR19	2.687	1.426	1.439E-09	
GBAS	2.685	1.425	9.672E-04	
PCBP3	2.682	1.423	2.181E-08	Transcribed locus
EPHB1	2.672	1.418	7.655E-09	
CNNM1	2.669	1.416	2.333E-05	Cyclin M1
EG245297	2.667	1.415	7.340E-12	
SCRN1	2.663	1.413	4.667E-06	Transcribed locus
ALDH1L2	2.659	1.411	1.384E-10	Aldehyde dehydrogenase 1 family, member L2
SYNJ2BP	2.654	1.408	2.624E-08	Synaptojanin 2 binding protein
MTCH2	2.652	1.407	6.450E-11	Transcribed locus, strongly similar to XP_215769.3 similar to Mitochondrial carrier homolog 2 [Ratt
PKD2L1	2.652	1.407	3.837E-15	
NBL1	2.649	1.405	5.147E-09	
NPTX1	2.646	1.404	3.757E-06	Transcribed locus
LYSMD2	2.643	1.402	1.032E-08	Transcribed locus
LXN	2.642	1.401	4.538E-09	Latexin
GPR176	2.638	1.4	4.297E-09	G protein-coupled receptor 176
YPEL4	2.633	1.397	1.188E-05	
CXX1C	2.633	1.396	5.558E-06	
SLC7A3	2.63	1.395	1.174E-06	Transcribed locus
EPHX1	2.626	1.393	1.386E-08	Epoxide hydrolase 1, microsomal
RBM4B	2.625	1.392	4.149E-07	Transcribed locus
AARD	2.625	1.392	4.432E-19	Alanine and arginine rich domain containing protein
RIMS2	2.615	1.387	9.933E-10	Regulating synaptic membrane exocytosis 2
ATP2B2	2.615	1.387	1.814E-08	Transcribed locus
SEPT3	2.596	1.376	5.712E-10	Septin 3
ANAPC2	2.594	1.375	4.722E-06	Anaphase promoting complex subunit 2
CAMKK2	2.592	1.374	3.340E-06	Transcribed locus, moderately similar to XP_001093677.1 similar to calcium/calmodulin-dependent pro
CACNB4	2.586	1.371	4.443E-14	Calcium channel, voltage-dependent, beta 4 subunit
CACNA1G	2.585	1.37	1.859E-11	Calcium channel, voltage-dependent, T type, alpha 1G subunit
NR1H3	2.574	1.364	2.296E-13	Nuclear receptor subfamily 1, group H, member 3
TCFAP2B	2.574	1.364	6.647E-16	
KCNH1	2.569	1.361	3.278E-05	Transcribed locus
ATPBD1C	2.566	1.36	3.787E-05	
2610207I05RIK	2.564	1.358	2.230E-13	
EDNRB	2.561	1.357	3.714E-08	
BAHCC1	2.559	1.356	9.869E-11	BAH domain and coiled-coil containing 1
VIM	2.554	1.353	1.447E-10	Transcribed locus
TRIM3	2.552	1.351	1.513E-13	Tripartite motif protein 3
LOC100046232	2.549	1.35	9.333E-08	
LOC100047870	2.548	1.349	2.209E-09	
NEGR1	2.542	1.346	1.034E-07	Neuronal growth regulator 1
SDC2	2.539	1.344	6.386E-10	Syndecan 2
CBFA2T3H	2.536	1.343	1.440E-10	
DIXDC1	2.532	1.34	7.046E-05	Transcribed locus
MEGF11	2.531	1.34	3.425E-17	Multiple EGF-like-domains 11
ELMO2	2.53	1.339	9.953E-09	Transcribed locus
GAP43	2.526	1.337	1.326E-08	Growth associated protein 43
AI427515	2.523	1.335	5.429E-04	
SAT2	2.523	1.335	1.561E-10	
6330503C03RIK	2.522	1.334	8.812E-10	
SIRT5	2.51	1.328	9.638E-07	
GNB5	2.504	1.324	3.287E-10	Guanine nucleotide binding protein, beta 5
KCNMB4	2.497	1.32	6.577E-07	
ADAM22	2.496	1.32	1.785E-04	A disintegrin and metallopeptidase domain 22
GAD1	2.496	1.319	9.036E-10	Glutamic acid decarboxylase 1
CLDN12	2.492	1.317	4.915E-07	Claudin 12
TAGLN3	2.487	1.314	8.857E-08	Transgelin 3
1700019D03RIK	2.469	1.304	1.529E-10	Transcribed locus
GABRG2	2.454	1.295	1.473E-07	Transcribed locus
LOC100045882	2.446	1.29	5.874E-11	
RANGRF	2.439	1.286	7.299E-05	RAN guanine nucleotide release factor
NUDT22	2.437	1.285	2.671E-07	
GEMIN7	2.436	1.285	1.596E-08	
LOC100046457	2.428	1.28	7.353E-05	
PLA2G7	2.425	1.278	8.012E-04	Phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
TM9SF2	2.421	1.276	1.059E-03	Transmembrane 9 superfamily member 2
EPDR1	2.419	1.275	1.105E-07	Ependymin related protein 1 (zebrafish)
