Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
PLD1	4.147	2.052	5.674E-11	Phospholipase D1
TMEM16D	4.125	2.044	3.941E-12	
KL	4.1	2.036	6.415E-05	Transcribed locus
QDPR	4.084	2.03	9.222E-08	Quinoid dihydropteridine reductase
TMBIM1	4.075	2.027	3.880E-09	Transmembrane BAX inhibitor motif containing 1
TDRD6	4.055	2.02	5.133E-17	Tudor domain containing 6
CLDN11	4.04	2.014	4.036E-13	Claudin 11
D16ERTD472E	4.027	2.01	6.896E-11	DNA segment, Chr 16, ERATO Doi 472, expressed
RHOU	4.025	2.009	1.146E-10	Ras homolog gene family, member U
GPT1	3.982	1.994	1.712E-07	
ZFP36	3.974	1.991	9.167E-04	Zinc finger protein 36
TMC6	3.967	1.988	2.586E-12	Transmembrane channel-like gene family 6
TRIM36	3.924	1.972	3.053E-16	Tripartite motif-containing 36
CERCAM	3.874	1.954	2.057E-09	Cerebral endothelial cell adhesion molecule 1
PRKD3	3.863	1.95	2.460E-08	Protein kinase C, nu
WFDC2	3.839	1.941	2.453E-04	
DRCTNNB1A	3.811	1.93	5.491E-11	
C4B	3.805	1.928	6.457E-10	
TMEM125	3.787	1.921	5.255E-14	
TCIRG1	3.747	1.906	3.840E-09	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3
MAG	3.622	1.857	3.909E-12	Myelin-associated glycoprotein
2610204M08RIK	3.606	1.85	1.499E-08	
EDG2	3.579	1.84	5.170E-08	
ENSMUSG00000043795	3.546	1.826	9.466E-06	
ARRDC3	3.543	1.825	3.576E-05	Transcribed locus
CDK2	3.542	1.824	1.850E-10	Transcribed locus, weakly similar to XP_001102523.1 cyclin-dependent kinase 5 [Macaca mulatta]
GAB1	3.527	1.818	1.285E-10	
SH3BP2	3.492	1.804	1.534E-10	SH3-domain binding protein 2
CCKBR	3.488	1.803	4.840E-10	Transcribed locus
IRF8	3.46	1.791	8.254E-06	
STMN1	3.44	1.782	2.325E-07	Transcribed locus
FES	3.425	1.776	2.819E-08	Feline sarcoma oncogene
3110035E14RIK	3.419	1.773	3.494E-16	RIKEN cDNA 3110035E14 gene
CDR2	3.405	1.768	5.867E-07	Transcribed locus
CMTM5	3.393	1.762	4.528E-11	
LIMS2	3.379	1.756	3.431E-08	LIM and senescent cell antigen like domains 2
HIPK2	3.369	1.752	1.481E-06	
SULF1	3.35	1.744	9.787E-07	Sulfatase 1
TRIM59	3.349	1.744	4.954E-13	Tripartite motif-containing 59
MLXIPL	3.321	1.732	2.884E-07	MLX interacting protein-like
RASSF4	3.319	1.731	1.343E-07	Ras association (RalGDS/AF-6) domain family 4
DNAJB10	3.299	1.722	1.761E-14	
BCAS1	3.291	1.719	1.306E-11	
CAB39L	3.273	1.711	2.388E-05	Calcium binding protein 39-like
ITFG3	3.272	1.71	1.108E-09	Integrin alpha FG-GAP repeat containing 3
RASGRP3	3.268	1.708	4.827E-04	RAS, guanyl releasing protein 3
MAPKAP1	3.265	1.707	2.019E-12	
SOSTDC1	3.261	1.705	4.568E-05	Transcribed locus
MYO1F	3.258	1.704	8.537E-09	Myosin IF
IL18	3.24	1.696	1.113E-12	
FNBP1L	3.196	1.676	2.820E-08	Formin binding protein 1-like
4933428G20RIK	3.195	1.676	2.674E-10	
CCDC88B	3.155	1.658	1.119E-06	Coiled-coil domain containing 88B
DENND1C	3.149	1.655	3.457E-10	
LIP1	3.141	1.651	8.787E-06	
CSF3R	3.132	1.647	1.121E-07	
TGFBI	3.121	1.642	1.293E-06	Transforming growth factor, beta induced
LOC100048556	3.107	1.636	2.381E-04	
CRYAB	3.103	1.634	7.729E-04	Transcribed locus, strongly similar to NP_037067.1 alpha B [Rattus norvegicus]
A430107D22RIK	3.101	1.633	8.062E-07	
COL5A1	3.095	1.63	2.413E-07	Procollagen, type V, alpha 1
ADAMTS4	3.094	1.629	2.494E-10	A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4
CCL3	3.089	1.627	8.462E-03	
PCOLCE2	3.079	1.622	2.493E-10	Procollagen C-endopeptidase enhancer 2
JUNB	3.048	1.608	7.335E-04	Jun-B oncogene
USP54	3.038	1.603	6.344E-14	Ubiquitin specific peptidase 54
ICK	3.036	1.602	1.636E-08	
PLEKHB1	3.029	1.599	7.736E-13	Pleckstrin homology domain containing, family B (evectins) member 1
EDG8	3.021	1.595	2.396E-10	
ARC	3.011	1.59	4.253E-09	Activity regulated cytoskeletal-associated protein
CDKN1C	3.007	1.588	9.268E-05	Cyclin-dependent kinase inhibitor 1C (P57)
STX1A	3.004	1.587	1.430E-11	Transcribed locus
JOSD2	2.97	1.571	8.424E-12	
PIGZ	2.97	1.57	1.576E-08	Phosphatidylinositol glycan anchor biosynthesis, class Z
ADSSL1	2.92	1.546	3.805E-09	Adenylosuccinate synthetase like 1
PNPLA7	2.918	1.545	4.659E-10	
MSX1	2.904	1.538	4.270E-04	Homeo box, msh-like 1
FCGR1	2.896	1.534	1.703E-08	Fc receptor, IgG, high affinity I
F11R	2.886	1.529	4.392E-09	F11 receptor
UBE1L	2.877	1.524	2.363E-09	
KCNK13	2.872	1.522	8.179E-10	Potassium channel, subfamily K, member 13
PRLR	2.871	1.522	1.932E-04	Prolactin receptor
MFNG	2.869	1.521	7.638E-07	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
AI427515	2.866	1.519	1.636E-04	
RTKN	2.863	1.517	6.735E-06	
GPR83	2.854	1.513	3.402E-12	G protein-coupled receptor 83
PLD4	2.848	1.51	9.466E-06	Phospholipase D family, member 4
MYO6	2.843	1.507	8.062E-15	Myosin VI
APOBEC1	2.83	1.501	1.237E-07	Apolipoprotein B editing complex 1
8430432M10RIK	2.829	1.5	6.568E-04	
GPR84	2.827	1.499	1.481E-06	G protein-coupled receptor 84
HK3	2.824	1.498	1.247E-08	Hexokinase 3
ALDH3B1	2.823	1.497	6.396E-10	Aldehyde dehydrogenase 3 family, member B1
CASP8	2.819	1.495	3.526E-10	Caspase 8
PDE1B	2.813	1.492	7.064E-09	
CDC2L6	2.811	1.491	2.329E-06	
ASAH2	2.811	1.491	2.197E-09	N-acylsphingosine amidohydrolase 2
GMIP	2.808	1.49	1.411E-09	Gem-interacting protein
TRIM30	2.806	1.489	2.142E-08	
FGD2	2.802	1.486	1.094E-05	FYVE, RhoGEF and PH domain containing 2
FHOD1	2.802	1.486	2.426E-06	
HAVCR2	2.79	1.48	3.919E-09	Hepatitis A virus cellular receptor 2
ENPP2	2.789	1.48	2.821E-05	
1200013B08RIK	2.784	1.477	1.893E-04	
CCL4	2.782	1.476	2.014E-04	
LITAF	2.768	1.469	9.123E-15	LPS-induced TN factor
SMTN	2.764	1.467	4.534E-09	Smoothelin
PTK2	2.758	1.464	2.264E-13	Transcribed locus
ZFP101	2.754	1.462	4.619E-07	
IL10RA	2.752	1.46	8.443E-07	Interleukin 10 receptor, alpha
COL16A1	2.748	1.459	3.066E-09	Collagen, type XVI, alpha 1
PACS2	2.747	1.458	1.518E-16	Phosphofurin acidic cluster sorting protein 2
ARPC1B	2.739	1.454	2.234E-05	Actin related protein 2/3 complex, subunit 1B
1190007F08RIK	2.737	1.453	9.393E-07	
SLC4A2	2.731	1.449	1.266E-10	Solute carrier family 4 (anion exchanger), member 2
NAIP5	2.729	1.448	1.222E-06	NLR family, apoptosis inhibitory protein 5
SLAMF9	2.719	1.443	2.768E-05	SLAM family member 9
PLCB2	2.714	1.44	4.946E-12	Phospholipase C, beta 2
CEP97	2.703	1.435	4.159E-07	Leucine-rich repeats and IQ motif containing 2
MYL4	2.698	1.432	2.805E-12	
ARHGAP30	2.695	1.43	1.314E-06	Transcribed locus
TRP53INP2	2.693	1.429	2.944E-04	Transformation related protein 53 inducible nuclear protein 2
ARRDC2	2.69	1.427	2.212E-06	Arrestin domain containing 2
WIPF1	2.689	1.427	1.646E-08	WAS/WASL interacting protein family, member 1
RHOG	2.683	1.424	2.486E-06	Ras homolog gene family, member G
CD82	2.675	1.419	1.195E-08	Transcribed locus
2310044G17RIK	2.672	1.418	2.413E-07	
BTK	2.671	1.417	2.264E-08	Bruton agammaglobulinemia tyrosine kinase
GSDMDC1	2.668	1.416	2.837E-04	
WIPI1	2.643	1.402	2.354E-09	WD repeat domain, phosphoinositide interacting 1
PLK3	2.638	1.399	1.648E-05	Polo-like kinase 3 (Drosophila)
ARHGAP25	2.636	1.399	6.001E-06	
TBC1D19	2.633	1.397	1.936E-04	TBC1 domain family, member 19
NCAM1	2.619	1.389	6.951E-06	Transcribed locus
KLF2	2.617	1.388	5.447E-03	Kruppel-like factor 2 (lung)
VAV1	2.614	1.387	4.513E-07	Vav 1 oncogene
DDR1	2.61	1.384	2.030E-11	Transcribed locus
TMEM39A	2.608	1.383	1.654E-13	Transmembrane protein 39a
FOLR1	2.59	1.373	6.860E-04	Folate receptor 1 (adult)
ARL11	2.587	1.371	2.859E-06	
LAT2	2.583	1.369	4.064E-05	
CTSZ	2.579	1.367	4.989E-06	
CENTD3	2.57	1.362	5.904E-09	
CCL9	2.569	1.361	1.310E-06	Chemokine (C-C motif) ligand 9
SLC25A45	2.569	1.361	1.051E-06	
PTPN6	2.566	1.36	3.485E-07	
PLP1	2.559	1.356	1.479E-06	Transcribed locus
AQP1	2.557	1.355	3.334E-02	Aquaporin 1
D15WSU75E	2.557	1.354	1.378E-03	
CYP3A13	2.552	1.351	1.819E-13	Cytochrome P450, family 3, subfamily a, polypeptide 13
HVCN1	2.55	1.35	6.487E-06	Hydrogen voltage-gated channel 1
INPP5D	2.545	1.348	8.098E-06	Inositol polyphosphate-5-phosphatase D
MAN2B2	2.536	1.342	8.867E-09	Mannosidase 2, alpha B2
LGALS4	2.535	1.342	4.166E-13	Lectin, galactose binding, soluble 4
RASL12	2.534	1.342	3.124E-06	Transcribed locus
CD52	2.534	1.341	8.119E-07	
SPSB1	2.534	1.341	1.060E-06	SplA/ryanodine receptor domain and SOCS box containing 1
NCF4	2.531	1.34	6.976E-07	Neutrophil cytosolic factor 4
MEGF10	2.528	1.338	6.917E-08	Multiple EGF-like-domains 10
FCGR4	2.512	1.329	8.100E-04	Fc receptor, IgG, low affinity IV
HIST1H2AF	2.511	1.328	1.449E-03	Histone cluster 1, H2af
STAB1	2.507	1.326	1.731E-07	Stabilin 1
PLCG2	2.506	1.325	3.880E-07	Phospholipase C, gamma 2
TBXAS1	2.505	1.325	8.522E-03	Thromboxane A synthase 1, platelet
RRBP1	2.504	1.324	2.093E-04	Ribosome binding protein 1
HIST1H2AN	2.5	1.322	8.332E-04	Histone cluster 1, H2an
TLR13	2.5	1.322	1.461E-06	Toll-like receptor 13
D12ERTD647E	2.495	1.319	1.723E-12	
FXYD5	2.493	1.318	1.571E-05	
KNS2	2.491	1.317	3.599E-11	
PRICKLE1	2.491	1.317	3.880E-09	Prickle like 1 (Drosophila)
SYTL2	2.483	1.312	1.056E-11	Synaptotagmin-like 2
KLHL6	2.48	1.31	5.365E-07	Kelch-like 6 (Drosophila)
9030625A04RIK	2.48	1.31	4.404E-06	
MERTK	2.479	1.31	5.875E-04	
TLR7	2.473	1.306	6.148E-06	
ZFHX3	2.473	1.306	6.178E-08	Transcribed locus
ARHGAP4	2.471	1.305	2.060E-08	
ZMAT1	2.47	1.304	2.797E-05	
LYZS	2.465	1.302	2.129E-05	
FOS	2.464	1.301	6.257E-02	FBJ osteosarcoma oncogene
LOC545013	2.463	1.301	8.715E-05	
RDH5	2.459	1.298	1.963E-03	Retinol dehydrogenase 5
TLR2	2.459	1.298	1.026E-04	Toll-like receptor 2
ACY1	2.456	1.296	1.094E-11	Aminoacylase 1
PLEK	2.455	1.296	2.033E-07	Pleckstrin
TIRAP	2.453	1.294	6.886E-11	Toll-interleukin 1 receptor (TIR) domain-containing adaptor protein
BICD2	2.451	1.293	5.194E-10	Bicaudal D homolog 2 (Drosophila)
GMFG	2.445	1.29	2.397E-06	
KCTD3	2.444	1.289	3.059E-12	
OLIG1	2.442	1.288	3.471E-15	Oligodendrocyte transcription factor 1
PIK3CG	2.425	1.278	1.794E-08	Phosphoinositide-3-kinase, catalytic, gamma polypeptide
KLK8	2.421	1.276	3.134E-05	Kallikrein related-peptidase 8
TRAF6	2.42	1.275	9.523E-07	Tnf receptor-associated factor 6
ARHGDIB	2.418	1.274	2.217E-05	Rho, GDP dissociation inhibitor (GDI) beta
CLEC7A	2.412	1.27	8.976E-11	C-type lectin domain family 7, member a
RASSF2	2.41	1.269	4.060E-04	Ras association (RalGDS/AF-6) domain family 2
LOC433801	2.393	1.259	7.944E-07	
SPG20	2.393	1.259	3.743E-07	Spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)
NKX2-2	2.386	1.255	2.744E-07	NK2 transcription factor related, locus 2 (Drosophila)
TPPP	2.382	1.252	4.355E-06	Tubulin polymerization promoting protein
DUSP26	2.379	1.25	2.939E-11	Dual specificity phosphatase 26 (putative)
LGALS3BP	2.378	1.25	4.770E-05	Lectin, galactoside-binding, soluble, 3 binding protein
PLEKHA2	2.375	1.248	1.293E-06	Transcribed locus
LST1	2.374	1.247	7.015E-05	Leukocyte specific transcript 1
TXNIP	2.371	1.245	4.664E-05	Thioredoxin interacting protein
ADRB2	2.37	1.245	2.844E-05	Adrenergic receptor, beta 2
EGR1	2.37	1.245	1.859E-04	Early growth response 1
RHOB	2.369	1.244	2.435E-04	
TSC22D3	2.364	1.241	7.977E-07	TSC22 domain family 3
CTTNBP2NL	2.363	1.241	3.510E-07	CTTNBP2 N-terminal like
APBB1IP	2.357	1.237	1.102E-05	
KIF21B	2.339	1.226	1.218E-05	Kinesin family member 21B
PDGFB	2.336	1.224	5.373E-05	Platelet derived growth factor, B polypeptide
GLTP	2.335	1.223	3.389E-10	Glycolipid transfer protein
RNF135	2.329	1.22	7.170E-06	Ring finger protein 135
TNFAIP8L2	2.329	1.22	5.334E-05	
MMP2	2.326	1.218	4.588E-08	Matrix metallopeptidase 2
CSRP2	2.321	1.215	1.739E-04	
MOBKL2A	2.321	1.215	4.501E-05	
SPNB2	2.317	1.212	6.726E-04	
WAS	2.315	1.211	1.834E-04	Wiskott-Aldrich syndrome homolog (human)
SH3KBP1	2.313	1.21	6.033E-05	
TMEM91	2.313	1.21	4.383E-11	
NCKAP1L	2.312	1.209	3.729E-06	NCK associated protein 1 like
SALL3	2.309	1.207	2.322E-06	Sal-like 3 (Drosophila)
IRF5	2.308	1.207	4.477E-06	Interferon regulatory factor 5
ENPP4	2.304	1.204	1.183E-05	Ectonucleotide pyrophosphatase/phosphodiesterase 4
D11WSU47E	2.301	1.203	7.009E-08	
SCN4B	2.299	1.201	2.432E-04	Sodium channel, type IV, beta
LRRC33	2.297	1.2	4.293E-05	
CDCA7	2.294	1.198	3.715E-06	
BC003236	2.293	1.197	3.512E-08	
ICAM1	2.291	1.196	8.890E-06	Intercellular adhesion molecule
PPP1R1B	2.29	1.195	1.117E-04	Transcribed locus
MAP3K11	2.287	1.193	1.763E-06	Mitogen activated protein kinase kinase kinase 11
PARP14	2.287	1.193	1.019E-05	Poly (ADP-ribose) polymerase family, member 14
HPGD	2.286	1.193	3.576E-05	Hydroxyprostaglandin dehydrogenase 15 (NAD)
MEIS2	2.281	1.19	5.481E-08	
ABCA9	2.277	1.187	2.878E-05	ATP-binding cassette, sub-family A (ABC1), member 9
IFI30	2.268	1.182	7.942E-04	
LPXN	2.266	1.18	1.277E-05	
LASS2	2.26	1.176	8.112E-06	
H2-DMB1	2.26	1.176	8.317E-06	
CMTM6	2.26	1.176	1.489E-06	CKLF-like MARVEL transmembrane domain containing 6
CLIC4	2.259	1.176	3.039E-06	Chloride intracellular channel 4 (mitochondrial)
RCAN2	2.256	1.174	5.356E-04	Regulator of calcineurin 2
SEMA4A	2.249	1.169	8.056E-13	
SLCO1C1	2.248	1.169	1.760E-03	Solute carrier organic anion transporter family, member 1c1
LTC4S	2.247	1.168	1.019E-05	Leukotriene C4 synthase
CUL4B	2.246	1.167	2.613E-05	Cullin 4B
TJAP1	2.241	1.164	1.134E-06	Tight junction associated protein 1
P2RY5	2.24	1.164	8.970E-07	
CYBASC3	2.238	1.163	1.478E-04	
ZEB2	2.236	1.161	5.820E-04	Transcribed locus
TMEM119	2.233	1.159	5.142E-04	Transmembrane protein 119
NUPR1	2.232	1.158	2.287E-05	
SLC24A6	2.232	1.158	2.045E-06	
CD37	2.231	1.158	1.213E-05	
AGPAT4	2.231	1.158	3.479E-07	
XPO6	2.23	1.157	2.674E-10	Exportin 6
C430004E15RIK	2.229	1.156	1.559E-06	
ITPR2	2.229	1.156	1.279E-05	Transcribed locus
PTPDC1	2.226	1.154	7.390E-12	Protein tyrosine phosphatase domain containing 1
ABCC3	2.218	1.149	1.372E-05	
9130404D14RIK	2.218	1.149	1.477E-04	
CX3CR1	2.218	1.149	7.436E-05	Chemokine (C-X3-C) receptor 1
CD59A	2.217	1.148	3.938E-02	CD59a antigen
TUBB4	2.213	1.146	2.037E-05	
KCNK6	2.21	1.144	3.946E-06	Potassium inwardly-rectifying channel, subfamily K, member 6
SFT2D2	2.209	1.143	1.461E-06	
UNC93B1	2.207	1.142	2.196E-05	
PROS1	2.206	1.141	1.548E-06	Protein S (alpha)
DBNDD2	2.199	1.137	8.184E-12	Dysbindin (dystrobrevin binding protein 1) domain containing 2
FCGR3	2.195	1.134	2.064E-05	Fc receptor, IgG, low affinity III
EBI2	2.194	1.133	3.576E-05	
PHACTR4	2.192	1.132	3.835E-06	Phosphatase and actin regulator 4
4632417K18RIK	2.191	1.132	1.781E-03	
RASSF5	2.188	1.13	4.630E-05	
KCNU1	2.188	1.13	3.149E-06	Potassium channel, subfamily U, member 1
TGFBR2	2.184	1.127	4.937E-08	Transforming growth factor, beta receptor II
PIP4K2A	2.183	1.127	6.053E-12	Phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
SCCPDH	2.181	1.125	3.705E-12	
FAH	2.177	1.123	6.282E-14	Fumarylacetoacetate hydrolase
LCP2	2.175	1.121	1.084E-06	Lymphocyte cytosolic protein 2
LOC100047963	2.172	1.119	7.238E-05	
LIPH	2.17	1.118	8.887E-04	Lipase, member H
5133400G04RIK	2.167	1.116	1.742E-06	
P2RY12	2.167	1.116	8.266E-06	Purinergic receptor P2Y, G-protein coupled 12
CASKIN2	2.164	1.114	8.376E-07	Cask-interacting protein 2
CTSH	2.163	1.113	1.494E-07	
CAPG	2.158	1.11	1.084E-06	Capping protein (actin filament), gelsolin-like
NFASC	2.156	1.108	4.832E-05	Neurofascin
LAG3	2.156	1.108	1.527E-04	Lymphocyte-activation gene 3
RPRM	2.153	1.106	1.066E-04	Reprimo, TP53 dependent G2 arrest mediator candidate
ORAI1	2.152	1.106	2.022E-03	ORAI calcium release-activated calcium modulator 1
GNG7	2.152	1.106	2.251E-07	Guanine nucleotide binding protein (G protein), gamma 7 subunit
PLEKHF2	2.152	1.106	1.041E-04	Pleckstrin homology domain containing, family F (with FYVE domain) member 2
CDC42EP2	2.152	1.105	1.148E-09	CDC42 effector protein (Rho GTPase binding) 2
HIST2H2AA1	2.149	1.104	5.519E-02	
CASP1	2.149	1.104	9.934E-04	
GNA15	2.148	1.103	5.089E-07	Guanine nucleotide binding protein, alpha 15
4930570C03RIK	2.147	1.103	1.760E-05	
CD14	2.147	1.102	2.088E-06	
RIN2	2.144	1.101	2.444E-04	Ras and Rab interactor 2
OLFML2B	2.143	1.1	7.200E-11	Olfactomedin-like 2B
SLC6A9	2.143	1.1	6.572E-09	Solute carrier family 6 (neurotransmitter transporter, glycine), member 9
CD86	2.141	1.099	1.031E-05	
MBP	2.141	1.098	1.080E-08	Myelin basic protein
ABI3	2.139	1.097	1.440E-06	Transcribed locus, moderately similar to XP_001092436.1 similar to phosphatase, orphan 1 isoform 1
ARAF	2.137	1.096	1.587E-08	
EVI2A	2.136	1.095	1.383E-08	
PRKCD	2.135	1.094	1.587E-08	Protein kinase C, delta
IIGP2	2.135	1.094	1.481E-06	
SLC31A1	2.135	1.094	1.458E-03	
RCSD1	2.134	1.094	5.926E-06	
CTSS	2.132	1.092	3.670E-04	Cathepsin S
PCDH10	2.13	1.091	1.089E-07	Protocadherin 10
PTPN18	2.125	1.088	3.020E-02	
SKAP2	2.122	1.085	2.086E-05	
ZFP90	2.113	1.079	2.035E-07	
PDIA5	2.112	1.079	6.772E-06	
1700047I17RIK1	2.109	1.077	4.985E-08	
SLC15A3	2.108	1.076	3.978E-05	
LOC100046056	2.107	1.075	5.812E-05	
SLC13A4	2.107	1.075	2.845E-02	Solute carrier family 13 (sodium/sulfate symporters), member 4
AB182283	2.107	1.075	2.217E-05	
SEPP1	2.105	1.074	5.077E-06	Selenoprotein P, plasma, 1
GNGT2	2.104	1.073	2.824E-06	
CSF1R	2.103	1.073	1.288E-05	Colony stimulating factor 1 receptor
BC028528	2.102	1.072	9.705E-05	
HHEX	2.099	1.069	8.735E-05	
BRF1	2.098	1.069	1.653E-05	
CD33	2.094	1.066	3.598E-05	CD33 antigen
ANKRD13A	2.091	1.064	1.155E-06	Ankyrin repeat domain 13a
NPAS4	2.091	1.064	2.031E-03	
TMEM176B	2.089	1.063	7.700E-09	Transmembrane protein 176B
P2RY6	2.088	1.062	3.236E-07	Pyrimidinergic receptor P2Y, G-protein coupled, 6
CD53	2.087	1.062	4.619E-05	CD53 antigen
GPR34	2.085	1.06	1.137E-04	G protein-coupled receptor 34
ZFP710	2.082	1.058	1.563E-06	Zinc finger protein 710
RAB32	2.081	1.057	3.394E-04	RAB32, member RAS oncogene family
RSPH1	2.08	1.056	4.423E-03	Radial spoke head 1 homolog (Chlamydomonas)
LYL1	2.078	1.056	1.779E-08	Lymphoblastomic leukemia
2810046M22RIK	2.075	1.053	3.064E-04	
TMEM176A	2.073	1.051	1.421E-03	
TJP2	2.07	1.05	2.502E-03	Tight junction protein 2
P4HA1	2.066	1.047	1.857E-02	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide
SLC25A27	2.065	1.046	9.234E-04	Solute carrier family 25, member 27
CD84	2.065	1.046	5.273E-04	
SERPINE2	2.063	1.045	1.073E-06	Transcribed locus
RNF113A2	2.061	1.043	1.019E-05	Ring finger protein 113A2
ITSN2	2.061	1.043	7.464E-08	Intersectin 2
HHATL	2.057	1.041	1.804E-03	Hedgehog acyltransferase-like
SALL1	2.057	1.04	6.870E-05	Sal-like 1 (Drosophila)
PIK3CD	2.054	1.039	1.164E-04	Phosphatidylinositol 3-kinase catalytic delta polypeptide
2810003C17RIK	2.054	1.038	6.249E-08	
ENG	2.051	1.036	4.601E-05	Endoglin
HERC4	2.039	1.028	5.417E-03	Hect domain and RLD 4
LZTS2	2.038	1.027	1.695E-03	Leucine zipper, putative tumor suppressor 2
WNK1	2.036	1.026	4.720E-06	Hereditary sensory neuropathy, type II
CRYBA4	2.036	1.025	3.622E-04	Crystallin, beta A4
SLA	2.036	1.025	1.410E-07	
CTSC	2.034	1.025	1.576E-05	Cathepsin C
LBR	2.033	1.024	1.220E-03	
ACCS	2.031	1.022	2.427E-05	Transcribed locus
A830007P12RIK	2.028	1.02	3.563E-05	
CSRP1	2.026	1.019	2.413E-07	Cysteine and glycine-rich protein 1
TREM2	2.024	1.017	6.404E-05	Triggering receptor expressed on myeloid cells 2
TYROBP	2.017	1.012	4.093E-03	TYRO protein tyrosine kinase binding protein
